description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.15214819945567992,0.21557868372018632,0.25110853501036395,0.6782186985015869,0.04637851715087891,-0.6604155539238145,-0.2183800225275964,-0.0643309766696108,-0.21785336783358256,-0.2535830791267831,0.15243284847370284,26
GaussianProcessRegressor,-1.327778656408169,0.32449798448390493,0.4160756897804168,3.3661420822143553,0.9380409717559814,-0.7457461530506587,-0.3334954639755509,-0.18085601941193832,-0.2731987413,-0.4252195974874228,-1.3836533708914753,26
BayesianRidge,0.158962892490341,0.21824688201227327,0.250097344132193,0.08893942832946777,0.003686332702636719,-0.5975915931927687,-0.2211483991789244,-0.06362468820125954,-0.22665435466467715,-0.2521985520661362,0.1617018356413676,26
TweedieRegressor,0.15039024364376719,0.21597038160802726,0.2513687273714284,0.04770913124084473,0.0035671710968017576,-0.6629125232862985,-0.21871930315101965,-0.06445648966763515,-0.2191816963305635,-0.25382805628533306,0.1507741030485676,26
SGDRegressor,-9.189907227066433e+31,1996357989308439.0,2614309882012145.5,0.046847295761108396,0.0035600662231445312,-1.0669087515201949e+17,-9.277861656072469e+16,-1.0022506811358054e+34,-9.288001529123024e+16,-9.288498783449072e+16,-1.3199551480251872e+35,26
PassiveAggressiveRegressor,-0.862122814632075,0.2922164862523538,0.3721394072038483,0.05529356002807617,0.0035797119140625,-0.6318774371521102,-0.25838124316577993,-0.09864899339999814,-0.2237433147904603,-0.31257609666280434,-0.3032187647668102,26
GradientBoostingRegressor,0.37717983036563674,0.18392968615265495,0.21522010313679218,26.555808305740356,0.005602979660034179,-0.5783139757919334,-0.18840636486187845,-0.04811386815554206,-0.1817320008833506,-0.21933508294187862,0.36592941979710136,26
HistGradientBoostingRegressor,0.4888893661152348,0.153695677301831,0.19496603487855357,2.92837233543396,0.013427639007568359,-0.6424227640656763,-0.16495259130362455,-0.04241305372620501,-0.14064556569085931,-0.20591091419101573,0.4407697236047012,26
AdaBoostRegressor,0.10820169505569599,0.235213014313591,0.25753414758794463,9.018364000320435,0.011206865310668945,-0.4793831645652832,-0.24128581685629213,-0.0689923110101114,-0.2668773515266758,-0.2626535980535364,0.09078632286046992,26
RandomForestRegressor,0.42700964435532696,0.16186168053772287,0.20643111437417294,52.455917835235596,0.027155256271362303,-0.6657182563999996,-0.1726929457019667,-0.045904925268610966,-0.15007586013799964,-0.2142234073231069,0.39486113188681093,26
ExtraTreesRegressor,0.3621170411893877,0.16523727553681247,0.21780708411535415,14.686923503875732,0.03080015182495117,-0.7135074616479996,-0.17660110229176634,-0.051807931615542556,-0.14051154094199997,-0.22758967913465405,0.3170025597094415,26
BaggingRegressor,0.37400245423185663,0.16794328069277634,0.21576838762371797,5.219951248168945,0.007733726501464843,-0.68645986494,-0.17847661292576134,-0.05022206350519526,-0.15296976552999997,-0.22403461539237624,0.3378250355413312,26
DecisionTreeRegressor,0.042383464266251614,0.1896023429746988,0.2668685028937599,0.9379041194915771,0.0037686824798583984,-0.7940364186,-0.21020429118765432,-0.08451616121998336,-0.1317024662,-0.2904828898274534,-0.11365840323859588,26
SVR,0.16187016134812338,0.21858468208877196,0.24966470587175715,0.9031497478485108,0.38942675590515136,-0.5462133371374531,-0.2253231435349124,-0.06491840390853205,-0.2303920575918042,-0.2547602136234806,0.14462358930320438,26
KNeighborsRegressor,0.39391107780162105,0.16099037771518074,0.21230962051982633,0.006263208389282226,0.061591720581054686,-0.67253174516,-0.1748580874016335,-0.04952969058376676,-0.14590788846000002,-0.22251669261569998,0.34718588725991817,26
PLSRegression,0.13895239454028707,0.2197170860658387,0.253055093138188,0.015387678146362304,0.0037473201751708984,-0.6306458119368175,-0.2216209431841782,-0.06478099865937913,-0.22422291654026863,-0.2544757913583774,0.14643076804069918,26
