description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.20298901534774128,0.2047617752089005,0.24434218777865105,0.6930969715118408,0.06216564178466797,-0.8366504042398641,-0.20558168848689787,-0.05993163869737469,-0.19722464828559988,-0.24479279807628423,0.20718062176852295,4
GaussianProcessRegressor,-1.3798942248104296,0.3301806930282087,0.4222261547971455,7.414676380157471,2.187955856323242,-0.7409222057850096,-0.3464326911623884,-0.19065256040901263,-0.30310831190000004,-0.4366153031898234,-1.5224289328327123,4
BayesianRidge,0.2220084255040108,0.20595182469529955,0.2414091636493102,0.14754962921142578,0.004118919372558594,-0.5637166504962574,-0.20798934719795867,-0.05796839523351843,-0.20781338492077478,-0.24074542809992705,0.23316406742936416,4
TweedieRegressor,0.20021139635006824,0.2053057002668554,0.24476758920226652,0.06476273536682128,0.004117727279663086,-0.7101063802236995,-0.20518457510948798,-0.05934171986616649,-0.19792593342956877,-0.2435778611071559,0.2149881398941557,4
SGDRegressor,-3.1612425654766253e+32,4851338520920375.0,4866258945850950.0,0.10871162414550781,0.004173564910888672,-6224697411601415.0,-4340077011089947.0,-1.9756385591900084e+31,-4347136430637095.0,-4358503598679528.0,-2.6089925448894427e+32,4
PassiveAggressiveRegressor,-0.027462320432468212,0.2265407866416129,0.277427339278006,0.09233012199401855,0.00414423942565918,-0.5828940486238983,-0.23186943060154616,-0.07511781040616833,-0.21492013765174342,-0.2731007066653412,0.005988685807388716,4
GradientBoostingRegressor,0.10520090276775251,0.23584657223535077,0.2588982251859097,0.9955994606018066,0.005124568939208984,-0.46527151405501577,-0.23816428297669714,-0.06729940606056155,-0.25571824844269986,-0.25940666283983266,0.10975845980456064,4
HistGradientBoostingRegressor,-0.004130147492844127,0.2505186510641035,0.2742592649868461,0.5291726589202881,0.006369256973266601,-0.46534526628275186,-0.2531615926995048,-0.07564026190863188,-0.28402432666101335,-0.27502293637297354,-0.0006521937134658096,4
AdaBoostRegressor,-0.002082802537553441,0.2497028183158197,0.2739795254372422,0.022472333908081055,0.004111814498901367,-0.46496565431987735,-0.25100416392439323,-0.07488764195249839,-0.2811984149012005,-0.2736499637412616,0.00930892523714726,4
RandomForestRegressor,0.33960558981255395,0.16270647739347824,0.22241701039291095,50.18342485427856,0.18670549392700195,-0.7034098635059999,-0.16640736102485396,-0.05301911186995584,-0.10904933461200017,-0.23021922365132813,0.2986183162667563,4
ExtraTreesRegressor,0.27396061980329955,0.16819400752906755,0.2332095834846316,98.1208688735962,0.21115407943725586,-0.7423277838679998,-0.16959594086682633,-0.055447762552878865,-0.10954542706900025,-0.23544450103924616,0.2663435469922692,4
BaggingRegressor,0.2748357904967127,0.1679500655034573,0.23306898523284,5.016272401809692,0.025429773330688476,-0.72409890514,-0.16545463938352872,-0.050851720970265454,-0.11570988404999998,-0.22542358076714822,0.327341635748753,4
DecisionTreeRegressor,0.10423864644683734,0.1823101622680461,0.25903739581846336,0.8402970790863037,0.005789041519165039,-0.7688111689999999,-0.1832922928158827,-0.06787251197155772,-0.10876172840000001,-0.2605122801866259,0.10201974048349635,4
SVR,0.16767526418721868,0.22263129528264614,0.24969664404234365,1.098561906814575,0.5374102115631103,-0.45534880231268404,-0.22953434445248577,-0.06447287893754647,-0.24119929099569473,-0.2539031315651621,0.14709637875723072,4
KNeighborsRegressor,0.41969052236870863,0.16119532297930853,0.2084952361647608,0.007391643524169922,0.08651194572448731,-0.67380580236,-0.16840124764906853,-0.0459359103819798,-0.14205400478,-0.21430515455094262,0.39220288946820414,4
PLSRegression,0.20293493444434563,0.20476135791587372,0.24435047751514952,0.021302556991577147,0.00444178581237793,-0.8371723521056422,-0.20558256241554118,-0.05993766742646758,-0.19726141445027148,-0.2448051028182047,0.20710097790910814,4
