description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.12221083215519879,0.23512332063063154,0.26009231647341213,0.5542796134948731,0.023419618606567383,-0.48221966794138654,-0.23325540163476483,-0.06684513775962367,-0.24990675870803863,-0.25852113265521476,0.10545037880383741,12
GaussianProcessRegressor,-64.75188870255661,0.5697015241738924,2.251057197485484,1.998305320739746,0.548030948638916,-23.001796912567038,-0.542581540239084,-2.2402693663564475,-0.2648088683982314,-1.4570898299924804,-28.956723852973845,12
BayesianRidge,0.22286052662681655,0.2134939242151201,0.24472700675614548,0.03262476921081543,0.0026091575622558595,-0.7357027800928976,-0.217969441521113,-0.061486907974811114,-0.22155080919561349,-0.24793176049835788,0.17730803608866183,12
TweedieRegressor,0.0007597332370417043,0.25502248591774385,0.2775028050226928,0.005504512786865234,0.002198457717895508,-0.4760484786811555,-0.2507543315922574,-0.07475428415728864,-0.28071367183096035,-0.2733984891679368,-0.00044546219420966705,12
SGDRegressor,-0.30658188361150773,0.26180189156988365,0.31732239986874183,0.011625909805297851,0.0022722721099853516,-0.5019626934137158,-0.25017296511911313,-0.0750742574850676,-0.27161671350981303,-0.2739843712665587,-0.004925561313236004,12
PassiveAggressiveRegressor,-0.16174161010134758,0.2646412793179091,0.2992176353095206,0.01650376319885254,0.002291965484619141,-0.5554566110370253,-0.25333442626945496,-0.08805957298600904,-0.2498169295631115,-0.2941833304800437,-0.17643503153851642,12
GradientBoostingRegressor,0.3540210060606971,0.1907886451803276,0.22312159811863694,10.930959510803223,0.0042098045349121095,-0.5474726051648153,-0.18886617832103397,-0.048337200981300094,-0.1815725882575166,-0.2198057838355703,0.3530765157096577,12
HistGradientBoostingRegressor,0.4994924704625514,0.16001111239042443,0.19639829883782894,1.223645305633545,0.011761856079101563,-0.5791442931623532,-0.16466205073046863,-0.04005910374886672,-0.14648203911749713,-0.20009226813710917,0.4636541486712309,12
AdaBoostRegressor,0.1372945783015993,0.23554267285720215,0.25784794691464247,2.1785714626312256,0.005785512924194336,-0.49177545903738495,-0.23084836710504608,-0.06479065265770091,-0.24374027775017382,-0.2545147855850707,0.13282343748507935,12
RandomForestRegressor,0.4390953165464393,0.17823016196188057,0.20791075102511955,26.755430126190184,0.02699456214904785,-0.5482395490099999,-0.18120753033629647,-0.044233807480991684,-0.17325357798599988,-0.21026402983759812,0.40784574515404143,12
ExtraTreesRegressor,0.5118687544843274,0.161690618054505,0.19395488307270198,7.143305540084839,0.03218312263488769,-0.5416391067060001,-0.16280586340181358,-0.0376381428843096,-0.15055467134299994,-0.19394867774450325,0.4961001124295309,12
BaggingRegressor,0.3882183113504917,0.1819890838123625,0.21713540895133607,2.7056955337524413,0.005972051620483398,-0.57881069574,-0.1845404579947966,-0.04856968990563731,-0.17001647917,-0.22033542276818868,0.3498150228226863,12
DecisionTreeRegressor,-0.22282265221736663,0.22463597109832373,0.30698287681496583,0.46706328392028806,0.002751874923706055,-0.8047408996,-0.22632032452854767,-0.09446735224273914,-0.1511727471,-0.30731410781661317,-0.2644336044238128,12
SVR,0.05065975100776188,0.24397229216689248,0.2704851090692439,0.6071070671081543,0.2114727020263672,-0.4738638616193631,-0.24048939253891902,-0.07142830526637861,-0.2535773048100107,-0.2672303746100412,0.04419176062531942,12
KNeighborsRegressor,0.48506814644882046,0.14941900034138292,0.19920823749416416,0.003183460235595703,0.04478874206542969,-0.6490021468799999,-0.15886398526758333,-0.04295193270247365,-0.12310673154000003,-0.20719200195538628,0.4253397846492154,12
PLSRegression,0.12954574200375546,0.23152316145133137,0.2590033557890486,0.006596899032592774,0.0026279449462890624,-0.560995738367702,-0.2300129665909128,-0.06583217140311874,-0.24056530660120604,-0.2565453308162082,0.11911303664261604,12
