description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.11435073014668806,0.23577546572961935,0.258888513116711,0.6735213279724122,0.07935042381286621,-0.46642389978738574,-0.23712985198497832,-0.06770572717143372,-0.2589110173812375,-0.26017664000644125,0.10155748599278855,17
GaussianProcessRegressor,0.1326141319454226,0.19058587764850515,0.2562052753715208,12.148278188705444,2.4085028171539307,-1.2670723502609778,-0.1923862067591979,-0.06531503587564441,-0.14905361033781364,-0.25535357008680837,0.13192876640263979,17
BayesianRidge,0.38128582806931344,0.1813196068276693,0.21638488883046014,0.2978729248046875,0.00480341911315918,-0.67987194929193,-0.18261249814613265,-0.04768854013701854,-0.16868410493024805,-0.21834083044379912,0.36705157822260537,17
TweedieRegressor,-0.0010206062875415256,0.2523545686124163,0.27523483893249423,0.014187765121459962,0.004773902893066406,-0.46204321654009384,-0.25172341691803213,-0.07536620310401812,-0.28383732661309474,-0.27451544480226514,-0.00025242715183020347,17
SGDRegressor,-0.008090064187022072,0.25179104165429583,0.2762050176723804,0.035479497909545896,0.004848766326904297,-0.4624603880148818,-0.2517457367983414,-0.07541152231367312,-0.28254099207462346,-0.2745981982958896,-0.0008594109123407412,17
PassiveAggressiveRegressor,-0.19631081366037972,0.2490701822240375,0.3008873372394974,0.10283780097961426,0.004869318008422852,-0.6123694847181635,-0.25962888384376503,-0.09633713660609587,-0.24932657075527417,-0.30687105830089034,-0.2775433433171738,17
GradientBoostingRegressor,0.49430901259747506,0.16411171226356866,0.19562506695453213,22.443592596054078,0.006684255599975586,-0.5391382537053668,-0.16666552671755974,-0.039520944536124675,-0.15305484781899853,-0.19877004021730996,0.4756067174924278,17
HistGradientBoostingRegressor,0.6418195449786834,0.12879231725216658,0.16463904515180824,5.790660381317139,0.01643338203430176,-0.5723882907562368,-0.13412940536099632,-0.02895611884593542,-0.1105574150749979,-0.17014042518956007,0.6156596389369854,17
AdaBoostRegressor,0.15686616627495042,0.2276216844275447,0.2525981441091586,9.54850721359253,0.01896219253540039,-0.45649078386624736,-0.22561806905642662,-0.0631464785346785,-0.2349828498265895,-0.2512663391513651,0.16202708943615202,17
RandomForestRegressor,0.5852419890095266,0.14744378962149202,0.17716555469137393,77.90983862876892,0.0309173583984375,-0.5431616138786491,-0.1534715742252312,-0.03403483569062935,-0.13902629560600002,-0.18444460619996925,0.548310813279753,17
ExtraTreesRegressor,0.6485296960845546,0.13359002434288983,0.16308958034278803,27.252365112304688,0.0382594108581543,-0.5483798921990835,-0.14027742943056615,-0.02945877914317483,-0.12209517921800006,-0.17161077985803289,0.6089788766280217,17
BaggingRegressor,0.5362721166976625,0.1516008774742092,0.18733266085897984,8.011471509933472,0.013801383972167968,-0.6055855662,-0.15955346055118047,-0.03876182656740781,-0.13708868980000002,-0.1968104531164152,0.48563066227092816,17
DecisionTreeRegressor,0.054339567437426295,0.18768466983724463,0.2675158421356278,1.3590633392333984,0.0052563190460205075,-0.7717820996,-0.1952284818756282,-0.07593495409337972,-0.11720383539999998,-0.27547527530203497,-0.008093399048598316,17
SVR,0.12356638871165349,0.23194553248073857,0.2575380535249021,2.4475353717803956,0.746501350402832,-0.4828436069390821,-0.2333167519642755,-0.06714206429644262,-0.24779983974322178,-0.25909020819995876,0.10902833813860721,17
KNeighborsRegressor,0.5659354921722874,0.13006446675749608,0.1812420788537287,0.010331106185913087,0.09941730499267579,-0.6795194173200001,-0.1406928082609368,-0.03816823405592103,-0.09632172232,-0.19526625686327465,0.49270695834924555,17
PLSRegression,0.2558685025655386,0.20410162113042427,0.23730491897154804,0.03261113166809082,0.005555915832519531,-0.7907851816526048,-0.20597744540958166,-0.058018959581985274,-0.19782902368322008,-0.2408048084105366,0.230282481886185,17
