description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.26178310287377515,0.2128463776656643,0.23613627853679195,0.925173282623291,0.19076461791992189,-0.4592082721403871,-0.21897702289609558,-0.05823066663201474,-0.2344047056715021,-0.24130387527258462,0.2273972268471452,2
GaussianProcessRegressor,0.2829700902866812,0.1701052604367344,0.2327230284114398,41.044535112380984,8.326107263565063,-1.279514051643762,-0.17628666445001923,-0.05684214681076518,-0.13230015710550527,-0.2383178431262602,0.2454417844345846,2
BayesianRidge,0.6186697206438644,0.13432376733823695,0.16971544592255794,1.898839044570923,0.00841970443725586,-0.5879715857978053,-0.13708041684250635,-0.02937553333425607,-0.11725518325187016,-0.1713726242488694,0.6102699396243979,2
TweedieRegressor,-3.1172312376703815e-05,0.2519041688593593,0.2748384512948005,0.035922670364379884,0.008275985717773438,-0.4543857041094155,-0.2522580989308245,-0.07547529080356288,-0.28487654625202713,-0.2747246321608508,-0.0014250599617395387,2
SGDRegressor,-0.008463440053886329,0.2495862273686086,0.2759947385400022,0.12492990493774414,0.00841073989868164,-0.5055966274616629,-0.25834533848445174,-0.08659385055232308,-0.2474571853501022,-0.2938115172750354,-0.14820071102072158,2
PassiveAggressiveRegressor,-0.5039236029112137,0.2689639500225767,0.3370416804113434,0.15321030616760253,0.008260154724121093,-0.6366205356494818,-0.290652647105341,-0.12980682355271997,-0.2613831086240195,-0.35751653791745674,-0.7211587023613524,2
GradientBoostingRegressor,0.5521093940741117,0.14948763841320753,0.1839317490105155,135.85664973258972,0.012896060943603516,-0.5372705286402671,-0.15033514261927888,-0.03423063244372883,-0.13244339752217593,-0.1849909943436133,0.5458957137237749,2
HistGradientBoostingRegressor,0.607984172785092,0.1367142648107233,0.17207688058117415,19.670768976211548,0.01968216896057129,-0.5408585179919613,-0.1362301132519717,-0.02934988417574137,-0.1132776048491839,-0.1713003064862566,0.6106243135869815,2
AdaBoostRegressor,0.32253483759909274,0.20301130999562056,0.2262112540551159,52.89012489318848,0.056905269622802734,-0.4871598986518341,-0.20078773463112504,-0.05000426423386546,-0.20576377980353536,-0.2236046081093641,0.33659092921974904,2
RandomForestRegressor,0.5168018016511648,0.15942097196167573,0.19104398869322736,324.49523572921754,0.0343080997467041,-0.554362315156,-0.16105273026384095,-0.03654426205646717,-0.14672169389999998,-0.19113375569837657,0.5152367314007908,2
ExtraTreesRegressor,0.5551743140956323,0.15393749327297068,0.1833013452695449,92.47322154045105,0.04093289375305176,-0.5210837485319999,-0.15555381659816744,-0.03353907167233165,-0.14427877931900002,-0.18311005267923688,0.5550874766818616,2
BaggingRegressor,0.4527960199624772,0.16550770101768988,0.20330373039522015,32.5959216594696,0.02823176383972168,-0.60417667606,-0.1687082657341745,-0.042386744570468524,-0.15252112486,-0.20586399193285182,0.4376614785308089,2
DecisionTreeRegressor,-0.07267292864433794,0.20780083949680464,0.28464554034616013,5.610215091705323,0.009243202209472657,-0.7753818378000001,-0.2017380880139732,-0.07644698337772292,-0.13505668810000002,-0.2764626599798508,-0.014629742996576711,2
SVR,0.003995253402265475,0.24888905055594887,0.27428460218534473,7.775232887268066,2.7945868968963623,-0.4404458096717162,-0.25028414026862283,-0.07567088455291604,-0.2755292630938383,-0.2750752370823391,-0.003991617186949181,2
KNeighborsRegressor,0.5982836163966656,0.13069561482542694,0.1741929186512181,0.03384842872619629,0.22031965255737304,-0.62883743304,-0.13360628396876087,-0.032172127255644827,-0.09819095176,-0.17935889213400683,0.573083463526358,2
PLSRegression,0.3872496084116669,0.17863319007926795,0.2151357190884584,0.11900267601013184,0.01084275245666504,-0.6340563248040472,-0.1804567307760256,-0.04683318594368201,-0.16548985003768746,-0.21638740621626776,0.37855078177521284,2
