description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.23260677341393843,0.2146515551679035,0.23889688211181506,0.9008979320526123,0.18694424629211426,-0.5340525520372793,-0.21679196772800685,-0.057832132688901736,-0.22980176862591062,-0.24047122039676525,0.23790836189575787,26
GaussianProcessRegressor,0.2772550148442938,0.17124626853558855,0.23184303020292066,42.461289930343625,8.516800260543823,-1.0899403198833197,-0.18251951466434094,-0.059465655052115984,-0.14216261780878625,-0.24378200450867285,0.21633441714922297,26
BayesianRidge,0.5989141718118509,0.13779783955835828,0.17271106391440802,1.9601023197174072,0.00855712890625,-0.5704117553121659,-0.1394949385262258,-0.029794355929614002,-0.1211558852142535,-0.17256876823852568,0.607330949584098,26
TweedieRegressor,-0.0003715804572015369,0.24956246971190862,0.27276093696548576,0.040478992462158206,0.008746862411499023,-0.47187334991115015,-0.2532650192514542,-0.07594926269031281,-0.2860050016599166,-0.2755787950124,-0.0008628759812475684,26
SGDRegressor,-2.4650050372394456e+16,33508118.810491707,42816425.381394066,0.8163720607757569,0.008935976028442382,-279761052.1065609,-42704022.082965374,-3103984583459705.0,-34289963.76387216,-55053984.80691065,-4.078128621362611e+16,26
PassiveAggressiveRegressor,-0.07418496407806296,0.25844099133289594,0.282644823162648,0.11605997085571289,0.008590936660766602,-0.5992479830079357,-0.2744477269611618,-0.11176772850963113,-0.22794007781737413,-0.33287494111141075,-0.4725650669589777,26
GradientBoostingRegressor,0.5093132442302915,0.15788769513825204,0.19103092075014158,136.47653255462646,0.012501382827758789,-0.5533431522088266,-0.15683261002795337,-0.0365381512854628,-0.13890223445450528,-0.1911181186121696,0.5185633020401926,26
HistGradientBoostingRegressor,0.593783415549717,0.13985475477415293,0.1738122277872604,20.465220546722414,0.02049260139465332,-0.5816447585581267,-0.14146371471764374,-0.03138576675443304,-0.12035906627348059,-0.17714269398668242,0.5863347680389397,26
AdaBoostRegressor,0.282656103575467,0.208524664811157,0.23097512172603957,54.21681051254272,0.050714635848999025,-0.47830923982485646,-0.20762079908745715,-0.05273539295519107,-0.21679908547865448,-0.22962320737456093,0.3050957288439523,26
RandomForestRegressor,0.5075804844129168,0.1624574007118224,0.1913679167971713,313.6172644138336,0.033382511138916014,-0.5641432404140001,-0.16629137425375937,-0.03856968002376085,-0.15525696610259998,-0.19636571500861297,0.49169942717903625,26
ExtraTreesRegressor,0.5438279463836013,0.15688694179145884,0.1841899113106388,96.43041977882385,0.0440462589263916,-0.536967829346,-0.16093130923972118,-0.03569235617473225,-0.15112490649299998,-0.18888608429477394,0.5296687546292265,26
BaggingRegressor,0.4539131492281334,0.16775870474497642,0.20152659197639564,32.72888422012329,0.03559551239013672,-0.6142313918,-0.1711632484829828,-0.04300889106036729,-0.15354448803,-0.20735589584590836,0.4331618582661452,26
DecisionTreeRegressor,-0.07361820986240275,0.20665470168936617,0.28257024974856837,5.193083620071411,0.008956289291381836,-0.7922472204,-0.21217631406544646,-0.08424847940899154,-0.1416629411,-0.2901604963783397,-0.1111751457854416,26
SVR,0.0010792083515540618,0.2468493659437427,0.2725630794396598,7.924042558670044,2.816991901397705,-0.44968268045955123,-0.25171683417153123,-0.07628092684871757,-0.2757095204929419,-0.27617405676784107,-0.0051724077704895285,26
KNeighborsRegressor,0.5907753292845529,0.12893969371552647,0.1744545917797239,0.038669681549072264,0.23714814186096192,-0.62338979776,-0.13341264560627247,-0.03241629718710805,-0.09689391393999999,-0.18000556619758717,0.5726965687632127,26
PLSRegression,0.26391920872535735,0.19731865590897424,0.23397219167341599,0.1373436450958252,0.013111734390258789,-0.7126340663709707,-0.19383181029742536,-0.052338054794520986,-0.18405989598844652,-0.22876276149795388,0.3102346714450605,26
