description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.5108414627733395,0.15892013866317412,0.19142167997996648,0.9413183689117431,0.1956660270690918,-0.5355037490022053,-0.16279603339518758,-0.03830631152864088,-0.1504515683792937,-0.1957080292100796,0.49315869666593687,4
GaussianProcessRegressor,0.46482023698341945,0.15240180783742277,0.20022400588664951,34.54264845848083,3.5076176643371584,-1.0082391141730942,-0.15773353035525445,-0.04341623664805585,-0.12272879016957221,-0.20827990799988902,0.4258620266888652,4
BayesianRidge,0.581847759203563,0.14237263920122367,0.17698380133266248,1.8224568843841553,0.008567380905151366,-0.6328637087878649,-0.14565669608865323,-0.03276350467790273,-0.12570280390101815,-0.18096249775888806,0.5665778081839709,4
TweedieRegressor,0.03357479399523233,0.24578687410525907,0.26906079984034714,0.09496936798095704,0.00855569839477539,-0.45305215966430123,-0.24841518229639523,-0.07280909484043024,-0.27759370683928875,-0.269827511545988,0.036790719718703555,4
SGDRegressor,-1.0743204247068626e+20,2381082237.4840846,2836829411.077281,1.8780022621154786,0.008461713790893555,-15057648065.791813,-2759028359.2944255,-1.3623048918583306e+19,-2422149361.72913,-3348817445.9545794,-1.815766184802506e+20,4
PassiveAggressiveRegressor,-0.7112067382082075,0.2965027699928744,0.35802845586651816,0.25273971557617186,0.008525466918945313,-0.5767100227176392,-0.2504708580542211,-0.0872032584326732,-0.23397187307836634,-0.29359006921382746,-0.1541782959185704,4
GradientBoostingRegressor,0.552493152340492,0.1466302977312037,0.18309064187040772,136.90792231559755,0.012733554840087891,-0.5801357176889835,-0.14887327398160216,-0.034929248993951424,-0.12489449411277782,-0.18686611781004364,0.5376953248807412,4
HistGradientBoostingRegressor,0.6271368805054236,0.13100636221868964,0.16712484556987497,18.146766567230223,0.018333578109741212,-0.5778779325181604,-0.1349134582458938,-0.0297534169373794,-0.10929889835410316,-0.17243745612644407,0.6061172633801852,4
AdaBoostRegressor,0.35275367912472444,0.19601585474675656,0.2201917787809243,52.09408893585205,0.04399814605712891,-0.4621563968616303,-0.198644293194588,-0.04928178902190737,-0.20444633011789204,-0.22198216148033012,0.34791417578131173,4
RandomForestRegressor,0.5471072910195456,0.15190622369656887,0.1841891183938269,327.66827898025514,0.03350381851196289,-0.5734157659339999,-0.15671327024394663,-0.036061994205370596,-0.13908644241600004,-0.1898697029140751,0.5226697041310977,4
ExtraTreesRegressor,0.5887585215322694,0.14573361518667888,0.1755152110104947,86.93961448669434,0.03936896324157715,-0.5508811625300001,-0.1515507428733957,-0.033377412576222135,-0.13585182130799994,-0.18267584482524213,0.5582756637649029,4
BaggingRegressor,0.48129681952060066,0.15986485991361968,0.19711776217037044,32.914289474487305,0.030560970306396484,-0.60169354806,-0.16311449865440716,-0.04069192808981407,-0.13935981448000004,-0.201699555904833,0.4614531287061766,4
DecisionTreeRegressor,0.08263147827650041,0.18805053947286535,0.2621429736070538,5.3207619190216064,0.008870172500610351,-0.7866651056,-0.19850271404011097,-0.07662687922417562,-0.1264594161,-0.2768074320340872,-0.013924642830027234,4
SVR,0.1564698652886043,0.22483598600891547,0.25137182933869884,7.027326011657715,2.5832159996032713,-0.5469109956477848,-0.23041106551979906,-0.06521889027794496,-0.24278254798369545,-0.25537666221667543,0.1371563377545449,4
KNeighborsRegressor,0.5709237547934012,0.13550646013122053,0.17928070046989567,0.03304920196533203,0.2200953483581543,-0.67894962212,-0.14861484614243373,-0.039052005483083366,-0.11403347382,-0.1975828835696633,0.4833335394306951,4
PLSRegression,0.358557091224875,0.18590737159297194,0.2192024019880673,0.1173631191253662,0.011012792587280273,-0.5882886239794866,-0.18814205429569125,-0.04872756661112944,-0.17995825541843163,-0.22073864209899904,0.35527383912635546,4
