description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.0026139826014656142,0.25212426514289166,0.27511489307182807,0.6651894569396972,0.0782860279083252,-0.4597408554187349,-0.2514706330680287,-0.07513088132106513,-0.28286405406346304,-0.2740831344219027,0.0018864519884558505,28
GaussianProcessRegressor,0.5613314311399702,0.14495702588173445,0.18245287968533924,5.683011388778686,2.0525769710540773,-0.6285066295474853,-0.15413811438147235,-0.03745440871408597,-0.12924580102784575,-0.19346760202002006,0.5018654591373971,28
BayesianRidge,0.3499912734103088,0.18737828788226613,0.2220966751175192,0.307708215713501,0.004648733139038086,-0.608558390101886,-0.1922127946337407,-0.051401870443042494,-0.18072176439101523,-0.2267038074400852,0.31686214473117386,28
TweedieRegressor,-0.000445115322502021,0.25250360261231986,0.27553647460979824,0.010179662704467773,0.00458059310913086,-0.4600110489458496,-0.2517421192881196,-0.07529286378505122,-0.2832777113329195,-0.27437845418595025,-0.0002657068548466146,28
SGDRegressor,1.2819091931515203e-05,0.25274359842860933,0.275473406644164,0.034638071060180665,0.004652786254882813,-0.4618829541184605,-0.2518602942847535,-0.07530013582399163,-0.28333150113901284,-0.2743922108317346,-0.0003698482481578891,28
PassiveAggressiveRegressor,-1.124498517322258,0.3195498417777779,0.40152323301417103,0.05144052505493164,0.004591226577758789,-0.9182172068738923,-0.4699767392279924,-0.3002848023706397,-0.4999904513100836,-0.5444677193373548,-2.9980394355495585,28
GradientBoostingRegressor,0.3135972606805896,0.1999582149663198,0.22822959911767932,54.31261534690857,0.006872320175170898,-0.5720739947245054,-0.20567265765182025,-0.05525092724202565,-0.20159210315697068,-0.23503119565125813,0.2658311754546542,28
HistGradientBoostingRegressor,0.41927791002250325,0.17896559088556435,0.2099261962208851,7.439275693893433,0.014786338806152344,-0.5967684139385387,-0.18746339017467348,-0.0482486454325015,-0.17857500648354477,-0.21961965092566405,0.35882175287843654,28
AdaBoostRegressor,0.11242201621106973,0.23692331259294175,0.25952889877390745,16.08681192398071,0.014050579071044922,-0.4608510055138216,-0.2376634342688678,-0.06767800713256555,-0.25943138803488625,-0.2601402210681258,0.10069143411428125,28
RandomForestRegressor,0.29026701316104575,0.2066588921584311,0.23207585481499127,120.20140886306763,0.029034948348999022,-0.5238521922120001,-0.2127402978292844,-0.056608956659703356,-0.21644485149800002,-0.23788977197721942,0.2479983681415551,28
ExtraTreesRegressor,0.3072854425805722,0.20423545546152122,0.2292765407604045,30.058286714553834,0.032603120803833006,-0.510442996238,-0.20957425589815531,-0.05494427676294972,-0.21342558398499997,-0.234372981920448,0.27015223932778787,28
BaggingRegressor,0.200084947401464,0.21302423176273966,0.2463794027208378,12.105199384689332,0.010631179809570313,-0.61589575278,-0.21769200711319375,-0.06281916750035668,-0.21337695614,-0.250598504474796,0.16555821256245173,28
DecisionTreeRegressor,-0.5105544132088042,0.2609660958423258,0.3385716970899086,1.9801256656646729,0.004889535903930664,-0.8022508628,-0.2669054722374234,-0.12004983583469728,-0.20935959369999999,-0.3464358381068501,-0.5948116635566784,28
SVR,-0.007602743250533672,0.2507782015976088,0.2765203729876608,1.771778392791748,0.7085067749023437,-0.4437294602691185,-0.2497511776100118,-0.07578262067312545,-0.27191640332321276,-0.2752697459767849,-0.006795351361487079,28
KNeighborsRegressor,0.5100074926693556,0.14841701212799374,0.19283114630136972,0.009675121307373047,0.09891905784606933,-0.6385013691200001,-0.16039923536670647,-0.04163599022579812,-0.13082163886000003,-0.20390443538458353,0.4461246998818571,28
PLSRegression,0.22165320416014278,0.21105574176096734,0.24303511895731006,0.02957005500793457,0.005251121520996094,-0.593909785827719,-0.21617817446996485,-0.06213619810025596,-0.21011939938597565,-0.24922692434723612,0.17466938546472321,28
