description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.012156563462239478,0.2492973803237789,0.27201798606182587,0.6823784828186035,0.07802376747131348,-0.46150260817196287,-0.25143041063142924,-0.07503310781019623,-0.2817433411528897,-0.2739059337638218,0.00823497564500173,7
GaussianProcessRegressor,0.45350535009642634,0.1602816328928613,0.20232358834139175,10.780963039398193,2.9106231689453126,-0.7885700154332704,-0.16674523033457753,-0.044040712926982396,-0.14208109291200724,-0.20985472960328214,0.41758325805019425,7
BayesianRidge,0.2837412974879783,0.19600889112877215,0.2316266453973657,0.3062110900878906,0.004628658294677734,-0.6125382924234228,-0.1970830511502619,-0.05373918333963614,-0.18398115892221958,-0.23180147584090333,0.2892368845487238,7
TweedieRegressor,-7.244312050236346e-07,0.2508099749582418,0.27368671627177094,0.010356473922729491,0.004556417465209961,-0.46249273301383215,-0.2526244322663491,-0.07575186500708578,-0.2833050773113257,-0.2752140949653164,-0.00125633982917841,7
SGDRegressor,-0.004986353249712305,0.24990519151107385,0.2743681177203581,0.03429126739501953,0.004678964614868164,-0.46425862490893965,-0.25270848039180255,-0.07583189775546462,-0.2836879928750787,-0.2753587621670372,-0.0023042704046098094,7
PassiveAggressiveRegressor,-0.4655594409067778,0.26558940825169414,0.3313258191152191,0.060185909271240234,0.004654836654663086,-0.7900143671405736,-0.3847094171639822,-0.22139155453781795,-0.3521358163813864,-0.46639645052358214,-1.9370273009497154,7
GradientBoostingRegressor,0.283080653986742,0.20242641007439321,0.2317334415650716,54.80021386146545,0.007323741912841797,-0.5485296757334246,-0.20713016415497992,-0.05626458435219461,-0.20455314521451654,-0.23718408578483113,0.25604717866745114,7
HistGradientBoostingRegressor,0.3747031271601974,0.18440513879751413,0.21641964980501857,7.749937963485718,0.01617012023925781,-0.5803540231024323,-0.18838352250797039,-0.04879453616453681,-0.18003471993405193,-0.22088279626021565,0.35456111664879475,7
AdaBoostRegressor,0.09122220538996684,0.2375741478834129,0.26090500778369996,16.81589093208313,0.015642309188842775,-0.4696954143298743,-0.23842232615850817,-0.06827796037640654,-0.2608703876628858,-0.2612824777107787,0.09748846484672422,7
RandomForestRegressor,0.26413593087713083,0.2091141302451388,0.23477527634498183,124.54631881713867,0.030614137649536133,-0.5177765629759999,-0.21207093569105182,-0.05665612072988491,-0.21621257479900008,-0.238013992854202,0.25091664792323154,7
ExtraTreesRegressor,0.2944234329707113,0.20454731907384496,0.22989294092960344,35.30800223350525,0.03887944221496582,-0.5243612734659999,-0.20961803026276984,-0.05519561315652133,-0.21440186546700005,-0.23492924459798686,0.2702047990622881,7
BaggingRegressor,0.182670066509653,0.21372855314541647,0.24742994801286933,13.42128758430481,0.025959014892578125,-0.6237318492,-0.21870161969782237,-0.06346359032691527,-0.21613092041,-0.25189748126001543,0.16097475508463646,7
DecisionTreeRegressor,-0.580915535550985,0.264718876686066,0.34411840020758366,2.0950576305389403,0.005914068222045899,-0.8076643891999999,-0.26522011199583073,-0.11929881888224472,-0.19949600029999998,-0.34538596880953676,-0.5773194526043512,7
SVR,0.010101622066176486,0.24669634571072002,0.2723007690409342,8.286023235321045,2.636888122558594,-0.4532117425629597,-0.24935780727895426,-0.07542958705003547,-0.2709785095872749,-0.2746356192546579,0.002866973619712798,7
KNeighborsRegressor,0.43601060338254005,0.16122258978569934,0.2055365351520004,0.023012351989746094,0.15418295860290526,-0.65327104928,-0.1592125960068081,-0.041649808105669386,-0.12872947062,-0.20403835063543158,0.44945794112863996,7
PLSRegression,0.1803364345270828,0.21358666719331376,0.24778292595344512,0.08064179420471192,0.007270050048828125,-0.6215151990413436,-0.2166209764427228,-0.0627037474611797,-0.21015796477442442,-0.25037823402914394,0.17055797616759666,7
