description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,-0.0032222477898264934,0.2527371361765823,0.2756105188312513,0.5495810031890869,0.010181808471679687,-0.4548343577569486,-0.25200572083769923,-0.07523704911331702,-0.2843162078632546,-0.2742629813434879,0.00014053322714433492,25
GaussianProcessRegressor,0.1893498332557142,0.21116735549150958,0.24775016335122124,1.2278916835784912,0.34620418548583987,-0.6265985577213562,-0.2118113282171079,-0.061727843850790574,-0.2000071016333679,-0.24839769300699271,0.17986610435371175,25
BayesianRidge,0.07376636177317897,0.2359671456046249,0.2648240883899964,0.0034226417541503907,0.0018105506896972656,-0.5574409836176653,-0.23046107794047624,-0.06745269730088085,-0.232843268315784,-0.25967515683603815,0.10362922317545913,25
TweedieRegressor,-0.004360457555979691,0.2529230396726747,0.2757668220119234,0.0018805980682373047,0.0017858028411865234,-0.45623615707005527,-0.25214977716309067,-0.07528124695013702,-0.28417362116998807,-0.2743432032499084,-0.00044211789017758465,25
SGDRegressor,-0.006345608589909624,0.25331588962736196,0.2760392185141423,0.0047954082489013675,0.001773834228515625,-0.4559282416317247,-0.2521615857658603,-0.07529375501864957,-0.284054114764802,-0.2743663057730458,-0.000612852429747912,25
PassiveAggressiveRegressor,-0.00043477335897623703,0.25259830935926647,0.27522735763576656,0.005581855773925781,0.001792001724243164,-0.8860395012942887,-0.5066241255336877,-0.39698341321272423,-0.4736694471836468,-0.5609152288637193,-4.217148758049854,25
GradientBoostingRegressor,0.16236093854757816,0.22166970312297918,0.25184055749784495,0.12821297645568847,0.0028621673583984373,-0.5636101089564648,-0.21833006377844133,-0.06170631269460779,-0.22254723167048782,-0.24837680823176678,0.17986704996925637,25
HistGradientBoostingRegressor,0.16892745348310967,0.2158123043970308,0.2508514867741656,0.2746120452880859,0.01746659278869629,-0.593574716372815,-0.21391791526801424,-0.061829923130148436,-0.2022736360740769,-0.24862991415094915,0.17826793488358533,25
AdaBoostRegressor,0.04980100503235163,0.24252349659352174,0.2682282367455927,0.03163166046142578,0.0028781890869140625,-0.5536437679760181,-0.23784548796194818,-0.06959079740350893,-0.2618043376299472,-0.2637438638259405,0.07542466709637115,25
RandomForestRegressor,0.14877957563101796,0.21477276891361752,0.25387400198154625,0.5073515415191651,0.018006324768066406,-0.6434545126976075,-0.2170112081103507,-0.06619946073509844,-0.19965079185959167,-0.25724428173553293,0.1204235562472489,25
ExtraTreesRegressor,0.14602343316008903,0.21496915032401015,0.2542846755386312,0.5874123096466064,0.017998361587524415,-0.6558339264314285,-0.21756063269889236,-0.06653872849165361,-0.20110813737971625,-0.2579045228362091,0.1158894778777553,25
BaggingRegressor,0.14285933554620733,0.21523481868356045,0.2547553193907027,0.05393214225769043,0.003944540023803711,-0.6586462157767979,-0.21751981237549978,-0.06646869221974212,-0.20044022459694294,-0.2577808146538906,0.11666880735623852,25
DecisionTreeRegressor,0.1457692425899082,0.2150686791674694,0.254322517301521,0.0073471546173095705,0.0018102169036865235,-0.6558339264314286,-0.21760094333420846,-0.06657961669594001,-0.2011081373797161,-0.2579833725118939,0.1153450957697894,25
SVR,0.07625548178620378,0.23690469325520547,0.264468010630892,0.44062395095825196,0.14236111640930177,-0.5178787333549639,-0.23409169852183434,-0.06790711085383942,-0.24331876077530534,-0.26055654341117995,0.09754644004070823,25
KNeighborsRegressor,0.05848782907960093,0.22130247629743324,0.2669993355422049,0.001449728012084961,0.02436213493347168,-0.69520592436,-0.22278717796527095,-0.07251791413418318,-0.20048324986000005,-0.26923162397473355,0.03643346611243807,25
PLSRegression,0.07284672943753245,0.23555564748475596,0.2649555241118363,0.002450227737426758,0.0017699241638183595,-0.5641371036722609,-0.22973743183760678,-0.06747077814668886,-0.2303890425568144,-0.2597090864259915,0.10338518533460028,25
