description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.055375653053121754,0.24148792850911424,0.2660009141062405,0.8316145420074463,0.14903297424316406,-0.4763025052772383,-0.24375251207872978,-0.07177381400649094,-0.2696398476797369,-0.267894490458681,0.051226678442417,7
GaussianProcessRegressor,-4.179090517944471,0.2791298562409023,0.6228454731469341,32.89088072776794,5.28714337348938,-9.271913844910314,-0.3222892289087168,-0.5123870247620452,-0.17746193361028556,-0.704831382265588,-5.787636090287993,7
BayesianRidge,0.43148911538519086,0.17084126602351055,0.20635878092990306,1.4517714977264404,0.007665252685546875,-0.6592189314809946,-0.1778598011638313,-0.04535882644459173,-0.1642592324009182,-0.21293270429428418,0.399748554043397,7
TweedieRegressor,8.936375176116229e-05,0.250801264323554,0.27367438803355304,0.02437620162963867,0.007498645782470703,-0.46251848046259225,-0.25261464282703006,-0.07574464260256893,-0.28327728161263765,-0.2752009734607217,-0.001160860188546642,7
SGDRegressor,0.0026022708605013545,0.2505156468393117,0.27333028181261204,0.07594618797302247,0.0077094554901123045,-0.4599774496050079,-0.2521676091466627,-0.07554250283434312,-0.28245818766698905,-0.2748348846415939,0.0014923930537328101,7
PassiveAggressiveRegressor,-0.8659618160756115,0.29171507701071,0.3738565016538689,0.17420148849487305,0.007515764236450196,-1.0147248675876686,-0.5341020117540012,-0.39077419248996353,-0.5598372155448924,-0.5729239727739481,-4.176790052339074,7
GradientBoostingRegressor,0.43000314685321295,0.1738651232882469,0.20662829427569393,103.40498342514039,0.011038875579833985,-0.5809029178921505,-0.17460821228337792,-0.04337076341969266,-0.16059272726618584,-0.20821049069606595,0.42648421024452166,7
HistGradientBoostingRegressor,0.5612008003367753,0.14503570228877968,0.18129527062295597,14.581477212905884,0.019373750686645506,-0.5745502797150278,-0.15133086329151535,-0.03517279203352161,-0.13028178064759277,-0.18749207427462022,0.5348399909027457,7
AdaBoostRegressor,0.18125230823872363,0.22450596792592367,0.24764445371501628,42.87046813964844,0.04472336769104004,-0.4681505684829528,-0.2226363311040771,-0.060589108092741796,-0.23490252570491724,-0.2461358877649089,0.19901938479162373,7
RandomForestRegressor,0.48462204090429717,0.1653788393595076,0.19647915526112295,267.53128604888917,0.03244762420654297,-0.5522960720700001,-0.17042717066943255,-0.04050066867934034,-0.15777765605,-0.20120801827521434,0.4645007312399638,7
ExtraTreesRegressor,0.5227290488567511,0.15772495225886327,0.18907585049984196,73.55530066490174,0.03889751434326172,-0.565176922112,-0.16197014970964368,-0.037449675717512246,-0.14924683162899996,-0.19347878363908458,0.5048875534921027,7
BaggingRegressor,0.4249542413343157,0.17108515826097434,0.20754141045606844,27.08088798522949,0.021641063690185546,-0.61146184276,-0.1748073129048744,-0.04496511177021184,-0.1564801504,-0.212006558715473,0.4054945864197254,7
DecisionTreeRegressor,-0.14630062183846415,0.21039070215783134,0.2930237524344803,4.702385807037354,0.007489919662475586,-0.778499458,-0.21419599019858734,-0.0868722340744147,-0.13444335000000002,-0.29463934810703035,-0.14908186418036062,7
SVR,0.09242594362551171,0.2312003914417344,0.26073215727864174,4.92607479095459,2.379320430755615,-0.5661429286752375,-0.23366957339641337,-0.06946572948558893,-0.2439917005415529,-0.2635479244597554,0.08149119679606694,7
KNeighborsRegressor,0.42656923202442365,0.15652109651330537,0.20724977009140183,0.022763586044311522,0.18125643730163574,-0.66937978956,-0.16319693935862917,-0.04503597674028213,-0.12540320538,-0.21213462082222914,0.40456832900525147,7
PLSRegression,0.11680230668034952,0.23011716413546623,0.25720684644494657,0.08358044624328613,0.009376335144042968,-0.6580594350951493,-0.23159734640752278,-0.06735277842989476,-0.24311995489407806,-0.25948342836969246,0.10949536968060587,7
