description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.1226758382270643,0.2341819597865119,0.2559823513543743,0.90359468460083,0.15877203941345214,-0.45917344368947316,-0.23794894756047585,-0.06762820170730591,-0.26616232049383054,-0.26003624076835563,0.10755003263347185,14
GaussianProcessRegressor,0.308184747703212,0.17429802947162218,0.22731340383891466,33.0068434715271,4.471703386306762,-1.0927737350366293,-0.17894509393201435,-0.054896913367301056,-0.1429408249416298,-0.23424073156648975,0.2752988511033857,14
BayesianRidge,0.612845080797463,0.13489282827924678,0.1700483294696881,1.3453932762145997,0.007328844070434571,-0.5983815140223786,-0.1400176872553932,-0.030784001391645534,-0.11878974109627853,-0.175425110156264,0.5938496470213956,14
TweedieRegressor,-0.0008676664235829357,0.25119494491844646,0.2734124639021007,0.02525811195373535,0.007274055480957031,-0.46693065267916706,-0.25262759166486226,-0.07579487029507519,-0.2858216570127782,-0.2752935711105267,-0.0002593780939623702,14
SGDRegressor,-0.0006398623671424186,0.2513128168310948,0.273381346894858,0.06952400207519531,0.007360649108886719,-0.46853197022177084,-0.25256888512949655,-0.07571780511884839,-0.2854575995614903,-0.27515449980575707,0.0007439287761674019,14
PassiveAggressiveRegressor,-0.4276669633391037,0.25742672538729,0.3265452974523302,0.2868227005004883,0.0074597358703613285,-0.7418865728194743,-0.27359359434668157,-0.11348628400959797,-0.2573338201357282,-0.32309468061332985,-0.4973101912443658,14
GradientBoostingRegressor,0.5013005285815588,0.1572355527586083,0.19299649989653098,109.13437490463257,0.010837507247924805,-0.5700227125596833,-0.16270447278209194,-0.039526130494105416,-0.1418784851075455,-0.19877731105963778,0.4782222245038243,14
HistGradientBoostingRegressor,0.5765070528383864,0.14064547437390607,0.1778496725623491,15.219334745407105,0.01946735382080078,-0.5741543751113489,-0.14767265060080298,-0.034383729556569834,-0.12342467683175977,-0.18541031178326112,0.5459748321390061,14
AdaBoostRegressor,0.2888237157190381,0.20836876813179508,0.2304722341505099,47.179159212112424,0.05635190010070801,-0.4704898756505463,-0.207588240588607,-0.053220836743020694,-0.21687884030896934,-0.2306703612012599,0.2976469471217056,14
RandomForestRegressor,0.48714292003872517,0.1629149267647674,0.19571682263812198,265.07765049934386,0.03253273963928223,-0.5693731234680001,-0.1677454502868566,-0.04028164121005887,-0.15253988539699997,-0.20068799151434943,0.4682512038409459,14
ExtraTreesRegressor,0.5216416350111488,0.15859534371434414,0.18901952408185826,75.00981211662292,0.0393272876739502,-0.5357005550739999,-0.1631520401704338,-0.037548845631736195,-0.15101119820499992,-0.1937506931929762,0.5044399876701272,14
BaggingRegressor,0.4197447225867116,0.1705867440024463,0.20818025131012252,27.023979091644286,0.02648897171020508,-0.60954519266,-0.17276345999337323,-0.04456615668062538,-0.15220201520999999,-0.211071852652812,0.4118791636692105,14
DecisionTreeRegressor,-0.09598583705208807,0.2062060357066527,0.286109613015726,4.487631511688233,0.007860851287841798,-0.7732281054,-0.21394391593857193,-0.08527019365040718,-0.1451467983,-0.29192453373926497,-0.12582814262266723,14
SVR,0.2752627276706394,0.20320784723128063,0.23265922521474097,5.332422256469727,1.986396360397339,-0.5198112585895175,-0.20769190685762423,-0.055578558164174785,-0.21117904624365186,-0.23570524620479047,0.2667036944830913,14
KNeighborsRegressor,0.5169245809535064,0.1425587651368989,0.18994919116003278,0.023307275772094727,0.1921147346496582,-0.63204629128,-0.15297612180183756,-0.03974344497802908,-0.12009818801999997,-0.19933958349627057,0.47547902201142456,14
PLSRegression,0.3016274016376257,0.1947785929860397,0.22838815407416455,0.08857121467590331,0.010977792739868163,-0.5810720741376794,-0.19572476729501997,-0.052892094813069154,-0.19020850454920996,-0.22990929422632797,0.3022406064926311,14
