description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.17097613888069885,0.22475180219654053,0.24920102250017934,0.8612311840057373,0.15573515892028808,-0.44187982722993774,-0.22751306888394512,-0.06228259958319461,-0.24394606149590103,-0.2495540244444956,0.17608653948181374,4
GaussianProcessRegressor,0.22427967135657723,0.1800464696614402,0.24105652466367203,35.75798149108887,5.816853666305542,-1.4992388359632172,-0.1856390681772063,-0.06131219333477918,-0.14507659633982523,-0.24749289032317878,0.1882149914754317,4
BayesianRidge,0.6065291170243681,0.13898012147498817,0.17168114637221144,1.3990461826324463,0.007640647888183594,-0.5340017234730963,-0.14324437949399016,-0.03121266941979251,-0.12460545695401952,-0.17664684710397754,0.5868971559318468,4
TweedieRegressor,-0.004022433495524114,0.25050490260176755,0.2742445545660466,0.026372671127319336,0.007636404037475586,-0.46531227221430826,-0.25314676760189514,-0.07563134858550673,-0.2839728496787025,-0.2750067298464062,-0.0005342510977540904,4
SGDRegressor,-0.0022318143769972654,0.2503528363317862,0.2739998953484558,0.07161264419555664,0.0077741146087646484,-0.4737723619235699,-0.253257385504165,-0.07555988128285304,-0.28414734353512894,-0.27487607375051065,0.00041831380098587,4
PassiveAggressiveRegressor,-1.0773609520224658,0.3313068026992486,0.3944775448743395,0.26401209831237793,0.007782649993896484,-0.6791216759401826,-0.250003104077273,-0.09423832610785654,-0.2394515574456842,-0.294771169231139,-0.24349789268881175,4
GradientBoostingRegressor,0.5783612085925697,0.14349812987100594,0.17772011455604508,112.90603652000428,0.011465120315551757,-0.5651390910864033,-0.14616658260510146,-0.033465228226290895,-0.1246440854725142,-0.1829071631303778,0.557112797123245,4
HistGradientBoostingRegressor,0.6604745523675952,0.12556916987012373,0.15947862032104956,15.656198167800904,0.018432140350341797,-0.5679181535702549,-0.13031569502591828,-0.027758918658660092,-0.10595809626175856,-0.16656996442829858,0.6326070848655428,4
AdaBoostRegressor,0.3335179349687105,0.19955719170219213,0.22343980215936515,45.08116517066956,0.03998570442199707,-0.4588847379769502,-0.19840087618239796,-0.04868468336358052,-0.2016220938409378,-0.2206400172360404,0.35594805300664467,4
RandomForestRegressor,0.5717719594762887,0.14851764956190153,0.1791034103521845,265.73976707458496,0.034258794784545896,-0.54993209132,-0.15174307170129658,-0.033763122307450696,-0.135825367437,-0.18372458418256504,0.5532179930325595,4
ExtraTreesRegressor,0.5939026926226626,0.1445217193719434,0.1744140069415444,78.73056621551514,0.044841861724853514,-0.54670816516,-0.1469943412443742,-0.031609622846974786,-0.13216692015699996,-0.1777758532525444,0.5817313154132967,4
BaggingRegressor,0.5236097637332671,0.15332104944347827,0.18890686057299774,26.785123825073242,0.024650049209594727,-0.6283463656799999,-0.1562294695218865,-0.03752317001294862,-0.13544227707999998,-0.19366428124289764,0.5034146516007245,4
DecisionTreeRegressor,0.03572001409525183,0.19391593085997905,0.26876201039706554,4.2281169414520265,0.008197355270385741,-0.7598242140000001,-0.19542935857310936,-0.07479408536815957,-0.1211709644,-0.27341528266533566,0.009969030999280815,4
SVR,0.3029447879591417,0.19700981718601404,0.22850720279021078,7.119816827774048,2.190116548538208,-0.5367911628272015,-0.19935230171618085,-0.052656900191815216,-0.19632442102202494,-0.2294383303718044,0.3034207370820824,4
KNeighborsRegressor,0.6018365653379797,0.12918063586249345,0.1727018507390481,0.030401325225830077,0.20667991638183594,-0.6480129752800001,-0.1319558461893023,-0.03135105769893847,-0.09836149914000002,-0.1770311303995099,0.5851116833989629,4
PLSRegression,0.33852890713291817,0.18928964481104274,0.22259824679629397,0.10440974235534668,0.01173849105834961,-0.6205604448158851,-0.18784629597273655,-0.04897307828132698,-0.183006552312859,-0.22127211377513883,0.3521551011695006,4
