description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.1961462537473746,0.22363530605196724,0.24755400265117228,0.8099361419677734,0.14776883125305176,-0.48269772070973155,-0.223399732202666,-0.061161957621789706,-0.23825827860324278,-0.2472964872484691,0.18578536094107065,15
GaussianProcessRegressor,0.23729466277848477,0.17934965223181465,0.24113476346752719,32.278309965133666,7.417109441757202,-1.5488111719123112,-0.19247629810254702,-0.0675778013475722,-0.14836757503452494,-0.25983957214666886,0.10001745665193891,15
BayesianRidge,0.5745345289808026,0.14549869018988873,0.18009995026146525,1.272312593460083,0.0071087837219238285,-0.6098075019383524,-0.1432800224224233,-0.03165166502722858,-0.12192526409475948,-0.17787470989140391,0.5786430981232021,15
TweedieRegressor,-0.00018117949059615057,0.254022332007187,0.27613456445524204,0.03161301612854004,0.007041406631469726,-0.4734910234499822,-0.25110209087992474,-0.07514095578771249,-0.2821467235385516,-0.2741096984280709,-0.00032767708589509503,15
SGDRegressor,0.0021094796727125775,0.2545806864436805,0.2758181754045333,0.06614956855773926,0.007171726226806641,-0.4714560611370615,-0.25075794684375363,-0.07504330302740858,-0.281076337364181,-0.2739346522247676,0.0009182115070082598,15
PassiveAggressiveRegressor,0.13114072775259977,0.20780871112552748,0.2573689512139957,0.2673764228820801,0.007124185562133789,-0.7417045113207552,-0.2471327613451142,-0.09279815924494542,-0.22952873943163143,-0.29504442974171335,-0.2332203980528936,15
GradientBoostingRegressor,0.5198643382104604,0.15480120978582745,0.19132134035096596,108.6728388786316,0.010713768005371094,-0.5730294555342065,-0.14945038828770013,-0.03515532839871847,-0.12579945232633274,-0.1874342727857911,0.5319561320029218,15
HistGradientBoostingRegressor,0.5993822131625639,0.13839368367086097,0.1747618149849152,13.92916202545166,0.018728160858154298,-0.5941817459400076,-0.13425375019222469,-0.029656816012524363,-0.10885741062050706,-0.17212608815685398,0.6051492447487932,15
AdaBoostRegressor,0.34336420098235865,0.20053354938346993,0.22374003971833153,43.17115178108215,0.0345252513885498,-0.49038718483052424,-0.19583955204258452,-0.04844159464243177,-0.19639185774602957,-0.2200838693249414,0.35499103364915624,15
RandomForestRegressor,0.5081952955358264,0.15978674553239394,0.19363228571920874,267.75833611488343,0.034957075119018556,-0.5885077757460001,-0.15614015443389512,-0.03595664951961956,-0.13641179251800004,-0.18955555476781,0.5213580955063233,15
ExtraTreesRegressor,0.558742264011083,0.15222546435870613,0.18341193761260535,61.586454200744626,0.040368080139160156,-0.55828508159,-0.14990778668987,-0.03286946599973979,-0.13385319109700003,-0.18125525674563608,0.5624007242514094,15
BaggingRegressor,0.467215601996927,0.162138266579099,0.20153811022433643,26.814504671096802,0.021861934661865236,-0.64714787586,-0.16160487826910327,-0.040449593373821376,-0.13744238571,-0.20109054495974893,0.4614903852143084,15
DecisionTreeRegressor,-0.005803969471284587,0.19936674471016236,0.2769096593331982,4.44047999382019,0.007469797134399414,-0.7721902712,-0.20159312764168197,-0.07651805787039333,-0.1382155846,-0.27659464991929594,-0.01927596934410174,15
SVR,0.23859494111475632,0.21082507670093167,0.24092912962612492,4.612786912918091,1.8201088905334473,-0.5841674800742782,-0.21078008817711685,-0.05741744291316888,-0.21388996332038285,-0.239605591032411,0.23559369741496874,15
KNeighborsRegressor,0.5848594866872268,0.12954769196705082,0.1779012467601414,0.021915435791015625,0.1968234062194824,-0.62527580196,-0.13489500487960307,-0.033313311419468424,-0.0977599259,-0.18233397966221987,0.5564297404321055,15
PLSRegression,0.315565757709663,0.19472867939571087,0.22842692700792508,0.07657232284545898,0.008526420593261719,-0.6490885612355894,-0.1905672926948647,-0.05049248330233137,-0.18132885118089875,-0.22469723477854395,0.32745966036599566,15
