description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.2455755581714153,0.2102305007084861,0.23819484294886187,0.883786964416504,0.15372729301452637,-0.5507569106859691,-0.21415505078511815,-0.05843194784013337,-0.22097425013278188,-0.24169926818130438,0.2251910760092327,21
GaussianProcessRegressor,-0.17528656754273064,0.20996956738494477,0.29730099706800983,33.31917562484741,4.891565895080566,-3.0559867177766313,-0.2183357007674755,-0.10072844042724427,-0.1594341632759257,-0.316268659747894,-0.3381818462648131,21
BayesianRidge,0.5282539258302019,0.15334397127142668,0.1883556390446425,1.3391809463500977,0.007211637496948242,-0.5946747704245353,-0.15951401452146136,-0.03804146786273718,-0.1416457011259282,-0.1949991187326272,0.49557659049228847,21
TweedieRegressor,0.0006416451989188499,0.25151384409731076,0.274148013449409,0.03340845108032227,0.007253837585449219,-0.46676475825214914,-0.25220011175808127,-0.0756261376248348,-0.283296780498733,-0.2749958844093139,-0.0029870988514804965,21
SGDRegressor,-5.5731907214143224e+16,49545365.32328469,64740557.08256222,4.36710205078125,0.007299947738647461,-440071644.90944594,-63546911.0365698,-7213813420654619.0,-50923453.67915021,-83649261.46187252,-9.607730927634667e+16,21
PassiveAggressiveRegressor,-0.8424625503948269,0.3001900930656884,0.372240663839492,0.11309094429016113,0.007301998138427734,-0.6583080086128883,-0.28305216471851047,-0.11715937758932737,-0.24276395232718423,-0.341536303242943,-0.5532242060205196,21
GradientBoostingRegressor,0.4470364994740105,0.17073410613105833,0.20392605242666614,109.45369877815247,0.010615158081054687,-0.6013898826371491,-0.1713915885110347,-0.0429612609615547,-0.15392585767511652,-0.20723307580125283,0.43031848464969336,21
HistGradientBoostingRegressor,0.5456040263825527,0.14874542982914846,0.18485947557035898,16.517760753631592,0.020335912704467773,-0.6119746155439987,-0.15486729502203905,-0.03726115351081803,-0.13251183241027595,-0.19296756378822527,0.5058236327645151,21
AdaBoostRegressor,0.25193847156956783,0.21333483501949238,0.2371882329155925,42.700916814804074,0.04013214111328125,-0.47364134505283484,-0.21478895119652072,-0.05716055841303454,-0.2228326345891439,-0.2390566784363736,0.24204901223972505,21
RandomForestRegressor,0.4644125278363527,0.1709034723270246,0.20069644714227924,281.27702741622926,0.03288874626159668,-0.57880631312,-0.17552261064316893,-0.04283538144037073,-0.16345401130500004,-0.20689056225916752,0.432153503511261,21
ExtraTreesRegressor,0.5055524503460083,0.16317392495498168,0.19283443686800114,77.94799900054932,0.04044995307922363,-0.574314215448,-0.16960815845431237,-0.04037887575429276,-0.1566291813490001,-0.20087061089132113,0.46475258406425224,21
BaggingRegressor,0.39964082968695,0.17678267654557359,0.2124858692142364,28.17464671134949,0.031261444091796875,-0.61610391732,-0.1816717524134573,-0.04806686226908239,-0.16360838683,-0.21919099050291074,0.3626775230080671,21
DecisionTreeRegressor,-0.17640507764626157,0.220187351847407,0.29744243282433547,4.760615825653076,0.0077474117279052734,-0.7940385458,-0.21918478868872748,-0.08827994021112205,-0.14673265259999999,-0.2970016741744811,-0.17024308805083246,21
SVR,0.013716127175338322,0.24755879910465273,0.27234878700368176,5.564085817337036,2.0318511009216307,-0.4541522413561484,-0.24824013377218096,-0.07510151638561627,-0.26979826537211843,-0.2740250633459821,0.003957411626299967,21
KNeighborsRegressor,0.49206754661985885,0.14556945927925613,0.19544630327841533,0.022838544845581055,0.19126582145690918,-0.7014332839999999,-0.15448832493197817,-0.042368327458213915,-0.11667147702,-0.20570771704195062,0.4383042305158291,21
PLSRegression,0.18998874548104205,0.21619123158525647,0.24681412246622095,0.07969560623168945,0.009414434432983398,-0.6523642226409924,-0.21785224176216839,-0.06211636221726726,-0.21773457686781916,-0.24918319917280413,0.176398847183545,21
