description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.00045122973795208576,0.2523886826732496,0.27541301401298235,0.7443205833435058,0.08471522331237794,-0.45967624775587346,-0.25164612755933424,-0.07524188625882659,-0.2830987586476915,-0.27428555430878193,0.0004115076410140528,28
GaussianProcessRegressor,0.5947042106945839,0.13982784530095152,0.17537533325655955,10.687505388259888,2.503483295440674,-0.6519988107298401,-0.15123025368128734,-0.035267595592700554,-0.12980144391781617,-0.18777262192778119,0.5311310779100461,28
BayesianRidge,0.3693118975587507,0.18288005385486686,0.21877101542584437,0.32105040550231934,0.004820060729980469,-0.6044786165303719,-0.18806860077006554,-0.04981403006155548,-0.17694765876907873,-0.22318806537903532,0.338003755884125,28
TweedieRegressor,-0.000445115322502021,0.25250360261231986,0.27553647460979824,0.010933589935302735,0.004799032211303711,-0.4600110489458496,-0.2517421192881196,-0.07529286378505122,-0.2832777113329195,-0.27437845418595025,-0.0002657068548466146,28
SGDRegressor,-3.149178640526884e-06,0.252745772808286,0.27547560608052485,0.0418950080871582,0.00486903190612793,-0.46002814504235634,-0.2516984101356273,-0.07527712845829398,-0.2836581054907243,-0.27434959218314725,-5.38610728196609e-05,28
PassiveAggressiveRegressor,-4.377257485968414,0.576817143300065,0.6387970175693277,0.057637357711791994,0.004843950271606445,-0.9601367581155559,-0.5401017941482948,-0.4197309503726843,-0.5292363812188164,-0.6035120398983234,-4.630653008866968,28
GradientBoostingRegressor,0.3199803700147251,0.19922655177322468,0.2271659253420442,55.581029415130615,0.007192659378051758,-0.5624471596586471,-0.20356456439037243,-0.05416587846613295,-0.20240098020694516,-0.23272446241900288,0.28032073728018825,28
HistGradientBoostingRegressor,0.4396342465775691,0.17570048307150984,0.2062140521141499,8.125848722457885,0.016956090927124023,-0.5516930707722016,-0.18698692533864433,-0.0476560168934983,-0.17768159239890843,-0.2182850666914291,0.3667206930792089,28
AdaBoostRegressor,0.11944470620161873,0.2355895568684186,0.25850013818037454,17.886872863769533,0.016180753707885742,-0.4821081851944248,-0.23438691150039034,-0.06672048949735024,-0.25182974286872917,-0.2582766125264457,0.11371585587991637,28
RandomForestRegressor,0.2869026900592777,0.20691309637765481,0.23262525514349233,129.87656273841858,0.031152772903442382,-0.5367715741819998,-0.21132476070601097,-0.056180824314057166,-0.21599122647399996,-0.23699449664002303,0.25374079205934624,28
ExtraTreesRegressor,0.3117249897133022,0.20419939790255787,0.22854065313701322,33.01403946876526,0.034431171417236325,-0.5162241626500002,-0.20829401982072282,-0.05435908055159051,-0.21200576075499997,-0.23313142173808377,0.2778873595059837,28
BaggingRegressor,0.23087412957498643,0.20915195380986382,0.24159123460801535,13.167522764205932,0.011151790618896484,-0.6389833432,-0.21709922199818754,-0.06279447154300642,-0.20833411207000002,-0.2505241507503368,0.16588866974192046,28
DecisionTreeRegressor,-0.5500410581634148,0.261607894639078,0.34296836609090725,2.134121561050415,0.005101394653320312,-0.8022399125999999,-0.2654251000746544,-0.11915438243632934,-0.1992608302,-0.34516291372296637,-0.5832345475563707,28
SVR,-0.007183638210348509,0.25073640667518693,0.27646285868635023,2.5946513175964356,0.9033710479736328,-0.4430488160662837,-0.24969479763746477,-0.07574940543544662,-0.27193215817303396,-0.27520943932147723,-0.006351723305380341,28
KNeighborsRegressor,0.6027483952405213,0.12961237592443164,0.17362621327629546,0.012497758865356446,0.17275562286376953,-0.6457879018,-0.1431668390340776,-0.03479828005710464,-0.11443345752,-0.1864173945676618,0.537664386272443,28
PLSRegression,0.250639914178274,0.20482399251007946,0.23846670004710058,0.057262754440307616,0.007002973556518554,-0.610652880564467,-0.2092100734587047,-0.05937319489247692,-0.2011952795199461,-0.24361258504267638,0.2113885799746283,28
