description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.16262687683394728,0.21425490492842436,0.2525268128208411,0.6304808139801026,0.05804357528686523,-1.0371020908568571,-0.21559654237692305,-0.06572280050687106,-0.20500103136501652,-0.2562917082194604,0.1251687857488224,24
GaussianProcessRegressor,-1.2344133400679698,0.3211527192836829,0.4125055029549414,3.873221778869629,1.0324955940246583,-0.7422905419818917,-0.3242867597994601,-0.17304863429885414,-0.2541542317505347,-0.41594891573051973,-1.3047997192164913,24
BayesianRidge,0.2002057070892942,0.21482677988328508,0.24679544462220396,0.13788242340087892,0.003938627243041992,-0.6784083525462037,-0.21576585672772008,-0.06106688438171477,-0.21548406592788566,-0.24707212379308982,0.18715129104741499,24
TweedieRegressor,0.17690744364951372,0.21380383803862418,0.25036425613498126,0.06098084449768067,0.003676891326904297,-0.9408518165850437,-0.21473077542066096,-0.06415944650517823,-0.20721150688200055,-0.2532340720922251,0.14600020176197165,24
SGDRegressor,-5.9584789108087504e+29,205504572853401.25,213017700418223.9,0.11311397552490235,0.0038174152374267577,-849524061223734.6,-505359257356467.3,-2.8664301765350425e+29,-507105139083971.6,-510105280434504.4,-3.8602969449725385e+30,24
PassiveAggressiveRegressor,-0.6225328651308286,0.2807516582050538,0.35151571049756397,0.08446178436279297,0.0037806034088134766,-0.80716527913026,-0.281594170536654,-0.1194593077155,-0.2642528540265977,-0.33703204473762705,-0.5814895831853886,24
GradientBoostingRegressor,0.11112176302072374,0.23853648788693937,0.260177133996173,0.9431309700012207,0.0047031879425048825,-0.4638363955034669,-0.23725312006482208,-0.06730699853830678,-0.25650048188680435,-0.2594063470793285,0.10394946710575377,24
HistGradientBoostingRegressor,-2.632548718661809e-05,0.25348122299453896,0.2759648095011786,0.5179006099700928,0.006226778030395508,-0.4727862587802149,-0.25153851989773895,-0.07522352767445527,-0.2835992150802149,-0.2742515255721313,-0.0015831235930126475,24
AdaBoostRegressor,0.008549791593295053,0.25176251698012775,0.2747789394468539,0.029184436798095702,0.004106712341308594,-0.5062635193192705,-0.25038216549513403,-0.07481669432870952,-0.2816404370779918,-0.2735095559823131,0.0038137897285860367,24
RandomForestRegressor,0.33176442366976655,0.1603445963465584,0.2255863334232712,50.93812999725342,0.1924222946166992,-0.7204533575179999,-0.15902283510964618,-0.05100489424316927,-0.09822955750499993,-0.225583875485122,0.32148344654911537,24
ExtraTreesRegressor,0.322803251684616,0.16067483827437926,0.22709387494607244,93.30116629600525,0.20969347953796386,-0.7745467294799998,-0.15941816129168382,-0.05223071586358944,-0.09545528679299994,-0.22840987059052908,0.30478500101916106,24
BaggingRegressor,0.2986866378544164,0.16358886280272394,0.2311021817831025,5.150821304321289,0.024930334091186522,-0.7227719468,-0.16039758452302047,-0.05179990040610357,-0.09931364904999998,-0.22713436358910716,0.3111634554733066,24
DecisionTreeRegressor,0.15428198135739346,0.1774153914934521,0.25378197952340714,0.8853121280670166,0.005798435211181641,-0.7955956219999999,-0.17123362069528944,-0.06241490457845515,-0.0943882935,-0.24972904006376634,0.16895513969896997,24
SVR,0.14455869238616548,0.22832455188080067,0.25523668630082086,0.922557783126831,0.5345730304718017,-0.5152484158380225,-0.23029053630376012,-0.06580933799467954,-0.24066054537477882,-0.2564900794697195,0.123962184997825,24
KNeighborsRegressor,0.4487632893226916,0.15636947174237822,0.20488825094104637,0.0074045658111572266,0.13332271575927734,-0.66831881572,-0.16234597713339358,-0.04328914216080927,-0.13188589698000003,-0.20791552713425004,0.42423854689625246,24
PLSRegression,0.16256471245222148,0.21425833384349247,0.25253618611060696,0.020246124267578124,0.0044461250305175785,-1.0375338556459064,-0.21560071876998138,-0.06573041441229106,-0.20504101078750633,-0.25630649034598746,0.12506736254514134,24
