description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.11081803821940994,0.23392635735075554,0.2596596152076075,0.6910290241241455,0.029604005813598632,-0.4958770007587791,-0.23338316514231466,-0.06697326821655121,-0.24875907110603995,-0.25876772376929036,0.10961650956991557,42
GaussianProcessRegressor,-21.950758614436,0.5066303385381445,1.3191907877974463,2.0589571475982664,0.5934267997741699,-32.62087120237959,-0.5724159958779235,-3.371933324982863,-0.2563367262459103,-1.8273266732245432,-43.8038795028569,42
BayesianRidge,0.21308392739942505,0.21300185983505698,0.24427177888191423,0.03721141815185547,0.00291900634765625,-0.6353514150217322,-0.21790643917921276,-0.06143622978093487,-0.2206987697547119,-0.24784132044583926,0.1832230767168484,42
TweedieRegressor,-0.0015388290601954235,0.25227576951227243,0.27557700944740565,0.007188749313354492,0.0028317928314208984,-0.46566189295005234,-0.25152549735273555,-0.07521603233913172,-0.2831783890373294,-0.274229283558724,0.00010620714414537602,42
SGDRegressor,-0.05791994129565836,0.2510899090742412,0.2832275456717878,0.01388850212097168,0.00286102294921875,-0.5100753077564014,-0.2527882128297906,-0.0834406778076412,-0.24188239525198138,-0.2885295700915999,-0.11245843291016189,42
PassiveAggressiveRegressor,-0.9757657604922301,0.31192873419764827,0.387058683133735,0.01849088668823242,0.002899312973022461,-0.6006852929423581,-0.26370338259052095,-0.09992368363327425,-0.24436489477596696,-0.31324930195627,-0.3271646750398171,42
GradientBoostingRegressor,0.34181943349015287,0.1915629982275022,0.2233992006377041,10.856953859329224,0.004129362106323242,-0.5443737124361723,-0.18842043909572675,-0.048500164922092116,-0.17986894685495328,-0.22020251549433642,0.3548996832840282,42
HistGradientBoostingRegressor,0.4777724381170163,0.16251302480271052,0.19899354173892403,1.2868893623352051,0.012315988540649414,-0.5967690319634521,-0.16482717471262237,-0.04054059926663859,-0.14555120084508236,-0.20130335939144076,0.4608644066806293,42
AdaBoostRegressor,0.13732723388479406,0.23183564895071312,0.25575971021639915,2.8189547061920166,0.006911182403564453,-0.46413636169160444,-0.23082996356162191,-0.06473242937799328,-0.24685804579852685,-0.25437866775420337,0.13964603391346903,42
RandomForestRegressor,0.4162276446985679,0.18020151177863802,0.21039278851626553,26.6083261013031,0.02634568214416504,-0.57328764587,-0.18058774441929032,-0.04434438658930149,-0.17185335652999992,-0.21056163505025602,0.41025356070499797,42
ExtraTreesRegressor,0.5109366387466707,0.16083371029186486,0.19257133954756347,7.111973571777344,0.03205685615539551,-0.5674255133800001,-0.16377089898764258,-0.03822239964195331,-0.151144319716,-0.19548095863619866,0.4918064439921229,42
BaggingRegressor,0.3630659189445311,0.18318911374986904,0.21976388860752433,2.6836331367492674,0.005891227722167968,-0.63188098004,-0.18337376067347044,-0.048814839510165034,-0.16752999360999996,-0.2209093398614424,0.3508929316421831,42
DecisionTreeRegressor,-0.17913407453618202,0.21862571007894188,0.2990134212463035,0.4456369400024414,0.002811098098754883,-0.805009785,-0.22630535771932786,-0.09500963232249136,-0.1471094125,-0.30816220136226996,-0.2639584249305073,42
SVR,0.02742762579811031,0.24284215905291492,0.2715626586787011,0.5987541198730468,0.20781002044677735,-0.4786825024013587,-0.24050738029598207,-0.07202021148898682,-0.25177562278471505,-0.2683141681024647,0.042867262056591415,42
KNeighborsRegressor,0.453280788398975,0.15409087001880564,0.20360632014931693,0.003770875930786133,0.06450204849243164,-0.67252759672,-0.15676506636419257,-0.04269236975788782,-0.12134105467999998,-0.20656882526241627,0.4322360367626841,42
PLSRegression,0.12020788290849715,0.23152393339537347,0.2582849615455413,0.007712268829345703,0.0027954578399658203,-0.7056578161544712,-0.23038124774177585,-0.06647660260254454,-0.2408023066055227,-0.25780574397426,0.11600468227432208,42
