description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.12291948995996138,0.23705681174990487,0.25905486885652734,0.6954852104187011,0.0788806438446045,-0.4654177021540214,-0.2373557263957465,-0.06792537300610313,-0.26080740134451097,-0.2606155734515844,0.09396953500746945,22
GaussianProcessRegressor,0.2073644959366555,0.18379802847843948,0.2462684571950406,12.183504962921143,2.2868165016174316,-1.4282696813249947,-0.19688552682506769,-0.06965226045958275,-0.15226451642136773,-0.2637695282924521,0.07138180368632115,22
BayesianRidge,0.4134437590859842,0.17816366870173947,0.21184921491142492,0.2979316711425781,0.004479646682739258,-0.6696110685011532,-0.18510493728662453,-0.0489713293826047,-0.171209181146779,-0.22129077312538423,0.3466705421127337,22
TweedieRegressor,-7.617422761452275e-07,0.2548521001128299,0.27661274999401936,0.013841962814331055,0.004534435272216797,-0.4599498867411759,-0.25094848830614563,-0.07505247052527551,-0.28372657835814796,-0.27394629905850837,-0.001067704112667167,22
SGDRegressor,-0.005025675017090281,0.2564097440164979,0.2773068561418354,0.0355682373046875,0.0045487403869628905,-0.46741195904769056,-0.2519836301247056,-0.07591315264923679,-0.28162317117573377,-0.27550064810973884,-0.012428215812810107,22
PassiveAggressiveRegressor,-0.41386604269500404,0.2722999491584947,0.3289093056355803,0.08843717575073243,0.004503631591796875,-0.6622660417223868,-0.27615564778558255,-0.11400605537765345,-0.24700979634044923,-0.3352837675146348,-0.5240873440946818,22
GradientBoostingRegressor,0.5137277200456907,0.16311520188929904,0.1928909204565624,22.335410642623902,0.0064789772033691405,-0.5491983467216988,-0.16761981214725755,-0.039604713970756364,-0.15411875230583674,-0.1989754562453307,0.4716021928106383,22
HistGradientBoostingRegressor,0.6606523211078357,0.12625304181902375,0.16113670190264787,5.442866563796997,0.015809011459350587,-0.5711773174606136,-0.13440606952039974,-0.028909266351131717,-0.11168150792873817,-0.16996091399287008,0.6142164831658118,22
AdaBoostRegressor,0.16888097532863788,0.22744482252437406,0.2521759355491944,9.929830312728882,0.018649768829345704,-0.4563146703809046,-0.2272047577725454,-0.06397450249864402,-0.2362024215277335,-0.25291877577827687,0.14672007069090404,22
RandomForestRegressor,0.5884835277635869,0.14694847985205553,0.17744576585623567,78.13627705574035,0.031125211715698244,-0.5461718532966294,-0.15424367964947377,-0.03398859882180626,-0.14064747926573684,-0.18434476651684645,0.5465249985492301,22
ExtraTreesRegressor,0.6542086469844524,0.13239699585132206,0.1626593727988196,24.60923113822937,0.037070941925048825,-0.5235508498947368,-0.14132741090889536,-0.029493645316177885,-0.12394981764299995,-0.17171500301856213,0.6064897391199934,22
BaggingRegressor,0.5272392707847164,0.1541889165028408,0.19019221040847198,7.780057716369629,0.010475397109985352,-0.59340468316,-0.1599444931416117,-0.038808967339401576,-0.13814231322999998,-0.19697760190130348,0.4821438168576588,22
DecisionTreeRegressor,0.1409200297938623,0.17844544252178068,0.2563827642022254,1.3218519687652588,0.004718399047851563,-0.7907888886000001,-0.19429916986399376,-0.07325629315939677,-0.12368334300000002,-0.27053701719969897,0.021794942995995315,22
SVR,0.14060573476230398,0.23187077208084098,0.25642965882383273,1.4921956539154053,0.6578421115875244,-0.48481371105193577,-0.2340446936334366,-0.06720928209379906,-0.2532996611279249,-0.25923753877281586,0.10350996156057149,22
KNeighborsRegressor,0.5574318563210796,0.12934158221094816,0.18401876167436312,0.009162664413452148,0.09812922477722168,-0.7323205941600001,-0.14403609807732431,-0.0397790044732347,-0.10002455692000001,-0.19939049274343448,0.46933614994778666,22
PLSRegression,0.27771803527703565,0.201331634036004,0.23508526802336585,0.029659414291381837,0.005201816558837891,-4.009537160216554,-0.21023518058804105,-0.11609027273725485,-0.19870011290846964,-0.31260116690067175,-0.5389919662513606,22
