description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.2561940923441177,0.21554318387421184,0.23741658341869962,1.1170148849487305,0.2115149974822998,-0.4635791408414889,-0.2177917457897883,-0.05794060704192876,-0.23371676998686935,-0.2406831370562867,0.23079523217719186,27
GaussianProcessRegressor,0.36257467953763234,0.16549716464240932,0.2197839096908912,46.099438714981076,9.298205757141114,-1.439012376243881,-0.1832483817307204,-0.06307346433692859,-0.13847804749652606,-0.250987087255618,0.1604546186509203,27
BayesianRidge,0.6270886149409107,0.1342356420480937,0.1681063275012037,2.579378938674927,0.010252714157104492,-0.5669325126005079,-0.13730171299763694,-0.029643844868016855,-0.11466696285300222,-0.17206444049846173,0.6058199964964741,27
TweedieRegressor,-0.000256446463664739,0.25359822260662895,0.27531946610749125,0.03595137596130371,0.008372783660888672,-0.46866367416974997,-0.25150228414398895,-0.07532671852954068,-0.28366474641630574,-0.2744290469893583,7.968169781547019e-07,27
SGDRegressor,-0.0022353835061121874,0.25450170668761335,0.27559168163597203,0.12615966796875,0.008502578735351563,-0.5136547797861626,-0.2559862781905836,-0.08647406893531331,-0.23710994444846048,-0.2938770572395003,-0.1489863341514419,27
PassiveAggressiveRegressor,-0.22883796564660397,0.2543128514516756,0.3051606628296427,0.1633549690246582,0.008516359329223632,-0.5978132139775019,-0.2796684375302499,-0.11332683941070631,-0.25192250635689006,-0.33227332642762536,-0.5059123525281665,27
GradientBoostingRegressor,0.5463287153629159,0.15206157633753695,0.18541799681977988,135.03097372055055,0.012708139419555665,-0.5659077686874024,-0.150177495817341,-0.03437406404485307,-0.1297137432309209,-0.1853559072214559,0.5432586406277927,27
HistGradientBoostingRegressor,0.6210947527227233,0.13449714361808804,0.1694519414574902,27.365191888809203,0.028194665908813477,-0.5700332321608986,-0.13692584366384195,-0.030404922758691222,-0.11351857227026207,-0.17428117156912934,0.5961460929087483,27
AdaBoostRegressor,0.30788897898184764,0.20779710266109314,0.22901773842975812,53.57604379653931,0.05584616661071777,-0.49064712689920525,-0.19995501968324164,-0.04993905160426046,-0.2062260332215385,-0.22344209795039055,0.33706214065597984,27
RandomForestRegressor,0.5301613802870642,0.15884440787145626,0.18869291565809757,323.88323440551756,0.034792089462280275,-0.5588179052720001,-0.16084697307778023,-0.03678618043252135,-0.14399993317600004,-0.19176103310384057,0.5113314752719502,27
ExtraTreesRegressor,0.5629230902900375,0.15502807766157675,0.18199529939767153,99.28040289878845,0.04697437286376953,-0.5312481368659998,-0.1564345628923074,-0.03446787001929074,-0.14438497500699995,-0.18562042162112047,0.5421814542201856,27
BaggingRegressor,0.4770465418104304,0.1624444675784704,0.19907318224319223,32.83833532333374,0.03081965446472168,-0.62169555058,-0.16633408208481457,-0.041467961105149,-0.14629879978,-0.20361146200062974,0.44889957819835696,27
DecisionTreeRegressor,-0.047228595451457966,0.2059269685294395,0.28170981955494495,5.685261631011963,0.009671401977539063,-0.8023713416,-0.20375048568486842,-0.07860076399646806,-0.13354044580000002,-0.28030084406475175,-0.0448975000588685,27
SVR,0.006074622989488576,0.25051860865331094,0.2744467731130549,14.537023496627807,4.50449652671814,-0.4478676913274458,-0.24947565312406333,-0.07530798918441758,-0.27544778246277196,-0.27439558076815784,0.00023685976510265939,27
KNeighborsRegressor,0.590698042002322,0.12944419110010477,0.1761177588546091,0.06029224395751953,0.28343496322631834,-0.6416801210799999,-0.13493620886091334,-0.03247448846253431,-0.10232029814000003,-0.18011960714808523,0.568441208994132,27
PLSRegression,0.3919884235711929,0.180211170016319,0.21465309922156744,0.2208098888397217,0.017209196090698244,-0.6382796487678298,-0.18030645685966512,-0.046978779516643865,-0.16432751355949932,-0.2167263365495448,0.3760921427703555,27
