description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.24700420893006292,0.21505932988954476,0.23883394543450084,0.9090126514434814,0.1907076358795166,-0.5108897490729688,-0.21746631596780786,-0.05819900818524448,-0.23189302978762555,-0.24122654255556428,0.22371386755655626,19
GaussianProcessRegressor,0.31513492126296827,0.16878919740597148,0.22777302508914396,35.23334655761719,4.654839944839478,-1.4213698232835363,-0.18368647745219777,-0.060230704851442475,-0.13860311898029615,-0.2453155831155139,0.1957545426596426,19
BayesianRidge,0.6129691007271618,0.1370807602736471,0.1712271382261807,1.935975980758667,0.00871586799621582,-0.5986388711009931,-0.13938311277833412,-0.0301880977474114,-0.11996242938931041,-0.17370591916158779,0.5970313745228788,19
TweedieRegressor,-0.00019139820623892412,0.25361619779863187,0.27525887866037324,0.03754968643188476,0.00855259895324707,-0.4680943683123789,-0.25154295472921806,-0.07554295191219136,-0.28311608980996766,-0.2748368154819502,-0.007636095294398282,19
SGDRegressor,-8791734560319586.0,19381609.50500143,25806972.701408595,0.6258016109466553,0.008581113815307618,-228771080.30054584,-28947698.60111127,-1578750687573771.5,-23491810.659070373,-38580549.72967856,-2.1137252826308136e+16,19
PassiveAggressiveRegressor,-0.7875549424594517,0.28782762765853015,0.36798445959909876,0.15765657424926757,0.008507585525512696,-0.6284516844701088,-0.28031425901835105,-0.10903091157010614,-0.2757370979316573,-0.3267766022967036,-0.45401118069017327,19
GradientBoostingRegressor,0.533138660577805,0.15417096226242757,0.18805883204521007,135.11386303901674,0.013222217559814453,-0.5842007301043893,-0.15721322624935424,-0.03660247827514401,-0.13978283376825837,-0.19126030952681145,0.5117643979158337,19
HistGradientBoostingRegressor,0.6043374392113791,0.13751476338116053,0.17312598505016863,18.545550203323366,0.01861600875854492,-0.58513768882144,-0.14186949046080458,-0.03153277042478237,-0.11936191214539105,-0.17748136056135713,0.5793824650520724,19
AdaBoostRegressor,0.30651267411379335,0.20722092167456543,0.22920233774258988,54.07030172348023,0.04967646598815918,-0.48470643742787667,-0.20714485644813224,-0.052712264388603124,-0.21906790915886254,-0.22956569983472966,0.2969789649328079,19
RandomForestRegressor,0.5120415450341782,0.16201676532915874,0.1922610024851773,317.70148878097535,0.03460569381713867,-0.5535215429520001,-0.16610841477652194,-0.03840631450536722,-0.15563055064900003,-0.1959371444800803,0.48773869082090904,19
ExtraTreesRegressor,0.5555140153836298,0.15612198586782658,0.18349693498047767,95.20658464431763,0.04446210861206055,-0.5159719051039999,-0.16293494034106876,-0.03636446579412728,-0.15352381805100004,-0.19065499423429974,0.5149789679561628,19
BaggingRegressor,0.45338697630654134,0.16572151391112622,0.20348845118357825,31.772930002212526,0.033713150024414065,-0.60069734274,-0.1713409013300484,-0.043014850943342176,-0.15476475477999999,-0.20734844289223045,0.42622691822155473,19
DecisionTreeRegressor,-0.09567701579276133,0.21045526368816136,0.28809853803946067,4.997883605957031,0.008812761306762696,-0.7978914232000001,-0.2064751269401551,-0.07953311032096858,-0.1407522453,-0.28197423307001224,-0.060772351095420916,19
SVR,-0.009712456134463698,0.25166150089934924,0.27656590266869474,6.431767272949219,2.504848289489746,-0.4488949435730616,-0.2500626790169093,-0.07624001990725741,-0.2726384496915454,-0.27609656558939194,-0.017186124192215435,19
KNeighborsRegressor,0.621885661680358,0.12482368332809848,0.16924324818868108,0.028458547592163087,0.2245192527770996,-0.64094920576,-0.1351582720838819,-0.03264233214644814,-0.10243089527999998,-0.1806146868884527,0.56425369586608,19
PLSRegression,0.30085449489428284,0.19509852796080754,0.23013547184548475,0.09878048896789551,0.010643768310546874,-0.7007036149572347,-0.19273145264431313,-0.05199144230176091,-0.1821506003009385,-0.227998505936687,0.30643736581850095,19
