description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.501546031448207,0.15941630362424714,0.19354161243085422,0.8990346908569335,0.18393197059631347,-0.5481687490050893,-0.16130727745694473,-0.03762087061113263,-0.14886106057392584,-0.19392051274745392,0.5018660786434438,3
GaussianProcessRegressor,0.43782099402367525,0.15514039852001069,0.20554131822248772,40.36363034248352,3.3550443172454836,-0.9666741564802741,-0.15198853052266775,-0.04049767814460882,-0.11910306802508164,-0.20122615834425886,0.4639167160638712,3
BayesianRidge,0.5715121977416375,0.14309551729579711,0.17944487430158335,1.8919734477996826,0.009073877334594726,-0.6079423849674903,-0.14336109674762204,-0.03191152757673031,-0.12310332747052825,-0.1786082813412585,0.577480432078133,3
TweedieRegressor,0.03796661949545854,0.24614587008865216,0.2688790076223181,0.1086207389831543,0.008742904663085938,-0.4517587410402705,-0.2480663490960246,-0.07287490104728742,-0.2796497336661464,-0.2699444366876528,0.035359190320345,3
SGDRegressor,-7.645036351602595e+19,1829503212.148509,2396909315.4751344,1.6827630519866943,0.008582592010498047,-12213541095.92796,-2519498493.911181,-1.0331746059426298e+19,-2141760085.6937308,-3170801896.8861246,-1.3704600952240842e+20,3
PassiveAggressiveRegressor,-0.9773675260954291,0.3149522464946289,0.3854832613590004,0.31513776779174807,0.008575153350830079,-0.6395556981351329,-0.25598376546140045,-0.09811936331916915,-0.22468552459621138,-0.3114776808650329,-0.3019261930356834,3
GradientBoostingRegressor,0.5381223780091106,0.14771732719317848,0.1863053328610789,135.6287733078003,0.012306928634643555,-0.5653798199753649,-0.14858394635626693,-0.034710213832481546,-0.12593015651295192,-0.186277091232792,0.5404026162475285,3
HistGradientBoostingRegressor,0.6123235624714749,0.1328633746780152,0.1706854607636847,18.640424251556396,0.01974797248840332,-0.5776997431327981,-0.1340655880045332,-0.029523964749018704,-0.10919620280380742,-0.1717933150074757,0.60904869398512,3
AdaBoostRegressor,0.3464153754622067,0.1971770707872439,0.22162193343298567,52.04611234664917,0.051447296142578126,-0.48200639476049256,-0.19886405548424643,-0.0493588329449519,-0.20384657914383522,-0.22214387631486066,0.3464840312028779,3
RandomForestRegressor,0.5402897637316598,0.1521421199171032,0.18586769492190602,333.43189458847047,0.033489036560058597,-0.580446590874,-0.15558448167874986,-0.03543705574264312,-0.13909753690899992,-0.18822777868450982,0.5307757948517191,3
ExtraTreesRegressor,0.5738208795142117,0.14656941762409115,0.17896079908307,93.70479383468628,0.040898466110229494,-0.5447066433680001,-0.15041061553952315,-0.03276772440123998,-0.13479006038200003,-0.18100225929893513,0.5660379043568575,3
BaggingRegressor,0.4887798468300728,0.15697532854028287,0.19600439468342157,33.08865938186646,0.031046390533447266,-0.6101398738799999,-0.15995859667348697,-0.039343095695966515,-0.13713271032000002,-0.1983284719355544,0.4791626090466017,3
DecisionTreeRegressor,0.030637590670637427,0.19466651339219485,0.2699012606354612,5.4472369194030765,0.008810758590698242,-0.7697357136,-0.19409646481331516,-0.07358131929528297,-0.1229078288,-0.2711634685587743,0.025985608517716918,3
SVR,0.15887799200316755,0.22497467654607697,0.2514150804508737,7.123274660110473,2.5942925930023195,-0.5524286332003567,-0.23047556838148853,-0.0654880278972636,-0.24448938228958955,-0.2558969513189125,0.13307926117935226,3
KNeighborsRegressor,0.5572229915678484,0.1355245614655317,0.18241239971665726,0.03294429779052734,0.3614191055297852,-0.6453087778000001,-0.14590239279475328,-0.037660023078205464,-0.11028738677999998,-0.1940319547267213,0.5013288011392947,3
PLSRegression,0.35229226753820053,0.18698835187627888,0.2206232951492374,0.12439684867858887,0.012286853790283204,-0.6162685962873887,-0.18674393854752083,-0.048313929543001545,-0.1801681340267648,-0.21978219263700133,0.3602556468176067,3
