description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.002876834831950892,0.25313297021581266,0.27556394385617644,0.6681939125061035,0.07869424819946289,-0.4732073716424077,-0.251240435790718,-0.0750473200771164,-0.28297211134339884,-0.2739300088489428,0.0007646811997016556,24
GaussianProcessRegressor,0.5519065660021785,0.14671508625680352,0.18472780883794207,5.78643159866333,1.669565486907959,-0.6628684275773804,-0.15204866953631296,-0.03646344585613866,-0.12715595329116208,-0.19090311897878012,0.5146545948867256,24
BayesianRidge,0.3325283513131314,0.19039090186058102,0.22545735127777122,0.30554981231689454,0.004584169387817383,-0.6276696179324388,-0.1909180484971064,-0.05117287615768473,-0.17862783977638605,-0.22618117537172505,0.3187641021190579,24
TweedieRegressor,-2.632548718661809e-05,0.25348122299453896,0.2759648095011786,0.010400009155273438,0.004542016983032226,-0.472786258780215,-0.25153851989773895,-0.07522352767445527,-0.283599215080215,-0.2742515255721313,-0.0015831235930126475,24
SGDRegressor,-0.00011790448404025433,0.2532703794614719,0.27597744516946515,0.03482241630554199,0.004565286636352539,-0.4777054566141309,-0.2518021640648015,-0.07521701221135182,-0.2832471006622419,-0.27424181609264525,-0.0015293054541481333,24
PassiveAggressiveRegressor,0.011548849969804542,0.25182264519283887,0.2743630324198953,0.06309390068054199,0.004617023468017578,-0.8259041615044008,-0.4004176446095631,-0.2390852701940807,-0.37438149659658315,-0.4776720915737319,-2.176879970936539,24
GradientBoostingRegressor,0.2813697296334583,0.20461230762475113,0.2339379835476006,54.17156400680542,0.006998538970947266,-0.5662330430055839,-0.2003543061662115,-0.05309554802128276,-0.19514814789555757,-0.23039930844608678,0.2930520264103099,24
HistGradientBoostingRegressor,0.374274269335232,0.18671862111889959,0.2182930936966571,7.380352210998535,0.014669370651245118,-0.5945927366339163,-0.18272062643867612,-0.046428254249027176,-0.17020409317055582,-0.21546098526449287,0.38171584908090567,24
AdaBoostRegressor,0.09695966553571522,0.24038417184026717,0.2622415861697265,19.199007272720337,0.016485261917114257,-0.4791010959512838,-0.23596368570609746,-0.06691506428910668,-0.2575237818176487,-0.2586638820680444,0.10901817179863227,24
RandomForestRegressor,0.26750625631326663,0.21005567959539603,0.2361837145389674,120.46201114654541,0.030184412002563478,-0.56557935652,-0.21056112533305993,-0.05606521504321157,-0.21393338330399997,-0.23675596289111214,0.2534621086687568,24
ExtraTreesRegressor,0.27907201187326025,0.20940115452845784,0.23431167674117415,30.039333629608155,0.03287596702575683,-0.539590960684,-0.20793855152313526,-0.05451042283642567,-0.21071011723099992,-0.23345404517393967,0.27424267204927605,24
BaggingRegressor,0.15980547306372173,0.21841163189883184,0.25295188077571684,11.935194730758667,0.010358667373657227,-0.6426400087199999,-0.2147988839548404,-0.06201560556908674,-0.20670662391,-0.24899410251269857,0.17433657726464763,24
DecisionTreeRegressor,-0.5348511382193053,0.26197903662493455,0.3418858441129845,1.9916713237762451,0.004849386215209961,-0.7979607618,-0.26764964319825146,-0.1203933981037856,-0.20527667534000002,-0.34693977996537695,-0.6047743559777595,24
SVR,-0.0018797365646716635,0.25157825328997896,0.2762204225053379,1.9814231395721436,0.8641832351684571,-0.4489416099895968,-0.24945425617280298,-0.07568551610435816,-0.2717035610275026,-0.27508670786043476,-0.007708074367179063,24
KNeighborsRegressor,0.46935983983294083,0.15859418954744892,0.20102406298697564,0.009959173202514649,0.0986905574798584,-0.67968272444,-0.15726458566717166,-0.040477879334400745,-0.12855548078,-0.20104541992323144,0.4614218745959799,24
PLSRegression,0.17394828011616048,0.2182772453161964,0.25081390428013167,0.03074946403503418,0.005211734771728515,-0.594060609498809,-0.2136745681957412,-0.061563313855885746,-0.2077299201499864,-0.248109362560736,0.1801361157871749,24
