description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.011200617860733675,0.24872762763346895,0.2716452853289494,0.6790079116821289,0.07760066986083984,-0.46273271320217174,-0.25155104949003315,-0.07510340128436786,-0.2817571254039824,-0.2740398692564855,0.00853157231122803,29
GaussianProcessRegressor,0.46363883654374805,0.1584824351289923,0.2000675900153481,5.189901065826416,1.5050609588623047,-0.8016388386441189,-0.16846145920381939,-0.04459614808504585,-0.14312470004927977,-0.211120030395946,0.4112556187249239,29
BayesianRidge,0.2947964804571247,0.1951063223993234,0.22940628615651693,0.30484209060668943,0.004536819458007812,-0.6329876795717557,-0.19690046815689252,-0.05373638575109475,-0.1857844094010475,-0.23178599720402193,0.29048836077944507,29
TweedieRegressor,-0.00030073993124157816,0.25020207823877844,0.2732205578156762,0.010095787048339844,0.004448366165161133,-0.463907560907906,-0.252817817569236,-0.07587403878392697,-0.28408300866327657,-0.27544204918305365,-0.0016400225725962335,29
SGDRegressor,-0.002619902058925039,0.2513000847842631,0.27353710058147634,0.033133316040039065,0.004521846771240234,-0.4622678526265588,-0.25273804518248877,-0.07592835513713966,-0.2839331704194782,-0.27554034734668714,-0.002353880608270531,29
PassiveAggressiveRegressor,-2.0312572461821805,0.3967515249882719,0.47561930690499454,0.07058830261230468,0.004522371292114258,-0.64170812383136,-0.30598682986570996,-0.1398282307166432,-0.2675018444151048,-0.36366988841306147,-0.8421888191087745,29
GradientBoostingRegressor,0.27535580119416014,0.20168416417219429,0.23254686469714655,53.898780012130736,0.006759929656982422,-0.5904017547342242,-0.20586588067921058,-0.055891702793136114,-0.20096430476929966,-0.23640884849946123,0.2619662256820895,29
HistGradientBoostingRegressor,0.3721413517045975,0.18500664803948275,0.21646068028643908,6.79527063369751,0.014481067657470703,-0.5844590489297341,-0.18913706942487063,-0.04953013973351951,-0.17836534781253194,-0.22251575991717684,0.3460968319721241,29
AdaBoostRegressor,0.10068154035438992,0.23511227101133209,0.2590626672532159,15.356210279464722,0.014000988006591797,-0.4748906730977076,-0.2372966821352584,-0.06784262725703986,-0.2577715007147986,-0.26045727922622364,0.10424000244019718,29
RandomForestRegressor,0.2563223194790861,0.20931144006777896,0.2355811038458828,119.92522020339966,0.029567575454711913,-0.5254578528839999,-0.2116835278535591,-0.05661629866600861,-0.21410259544799998,-0.23793119528629889,0.25255785983546586,29
ExtraTreesRegressor,0.28118581899887896,0.20642312354961762,0.23160951484671038,29.38883771896362,0.03413834571838379,-0.5152538538959999,-0.20950869604656108,-0.05531926684920272,-0.21297988262900006,-0.23518677469439306,0.26965724253445755,29
BaggingRegressor,0.1788608317810788,0.2146368978088528,0.2475463133368007,12.006682395935059,0.010349702835083009,-0.60663950218,-0.21492171773621602,-0.062111954238826005,-0.20833577506000003,-0.2492197075154115,0.17980017786268174,29
DecisionTreeRegressor,-0.6600010893716273,0.27035211264992143,0.35196725828707687,1.9589032649993896,0.0048711299896240234,-0.8109810534000002,-0.25713941733725115,-0.11407751764064808,-0.19305266960000003,-0.33769912734582624,-0.5060072622910755,29
SVR,0.005382549873142017,0.24675138622313256,0.2724432898330052,1.77890043258667,0.6788394451141357,-0.4482507021903193,-0.24927806441890157,-0.07539421056941012,-0.27220626517801866,-0.2745576199579941,0.0048215915045345835,29
KNeighborsRegressor,0.4856153484817165,0.15356564056338395,0.19592600328027054,0.010423803329467773,0.0980637550354004,-0.63877804256,-0.16018121338241223,-0.041828594323307676,-0.13265862169999995,-0.20448535417816216,0.4478663525255615,29
PLSRegression,0.14496181653283957,0.21902035859599436,0.252604354813319,0.030686044692993165,0.00529932975769043,-0.600038825858835,-0.21978448246972496,-0.06391153984254852,-0.2135071534476424,-0.25277365952871234,0.15611363435902093,29
