description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,5.084699819413174e-05,0.2539091029360292,0.2761025331338119,0.5332966804504394,0.010120296478271484,-0.4720131654563029,-0.25096200910985683,-0.07510914032499949,-0.28202549254624254,-0.2740518977259398,9.22699073156119e-05,15
GaussianProcessRegressor,0.19509283584443038,0.21208252548788198,0.24771615431171043,1.16544828414917,0.32677459716796875,-0.6247312263807129,-0.2116763446587687,-0.061896077949881875,-0.2001713188182129,-0.2487718011249108,0.17583179280060784,15
BayesianRidge,0.08993689796819493,0.23424466562875,0.26340085840503014,0.003341960906982422,0.0017207145690917968,-0.5509950748851878,-0.23189060314594884,-0.0679290204313718,-0.23652153417033253,-0.26061988402626785,0.0955283202646346,15
TweedieRegressor,-0.00032921899234894525,0.25403570994900726,0.2761549994082499,0.001799631118774414,0.0017004013061523438,-0.4734229533787634,-0.25111400460296407,-0.07515154549532016,-0.2821953369667602,-0.274129027459769,-0.000468871636453061,15
SGDRegressor,-0.0005137328696420695,0.25464012871327896,0.27618046706392146,0.004623222351074219,0.001710653305053711,-0.47038564272144523,-0.25093973060117813,-0.07517169756352246,-0.28162462566811775,-0.27416664441963645,-0.0007506584541538519,15
PassiveAggressiveRegressor,-14.17805459479638,1.0399248062367255,1.07569583734012,0.004566669464111328,0.0017064571380615234,-1.0464425880605168,-0.6472179476870701,-0.5230369817918004,-0.6219852620292088,-0.6944510696703541,-5.982887531174995,15
GradientBoostingRegressor,0.18366858843613765,0.21999254147845979,0.24946790890901974,0.12276215553283691,0.0027379512786865233,-0.5694500691256561,-0.21973578833030477,-0.06227229174447914,-0.2227920951656392,-0.24953480441905027,0.17093049647757882,15
HistGradientBoostingRegressor,0.19268251566521655,0.21316062472840716,0.24808677402403262,0.2661949634552002,0.016946744918823243,-0.587587482727759,-0.21361108069308857,-0.061917447830829406,-0.20156574950169587,-0.2488234572949534,0.17556815570976003,15
AdaBoostRegressor,0.06627336390046779,0.24125798975457513,0.2668033674323188,0.03568110466003418,0.003078126907348633,-0.5644539594235601,-0.23757317621354956,-0.06969165133395933,-0.260278060981709,-0.2639855076788985,0.07217568742682923,15
RandomForestRegressor,0.14574401381769353,0.2171523259993602,0.25519693150002604,0.48479557037353516,0.01692342758178711,-0.6906424857415796,-0.2164770222657153,-0.06653077999275288,-0.1963999551033952,-0.2579316507005135,0.11400512905591902,15
ExtraTreesRegressor,0.1458999806022675,0.2171149968826854,0.2551736339976472,0.568736457824707,0.016907453536987305,-0.7042350865619049,-0.2173636496386726,-0.06714924854317791,-0.19756228407174276,-0.25912796833794766,0.10579319046456663,15
BaggingRegressor,0.1478258821593036,0.2166795892405279,0.25488577740238244,0.051777887344360354,0.0038234710693359373,-0.7043923208150911,-0.2176395922766204,-0.0674136891014593,-0.19592663310560124,-0.2596346731985974,0.10233573120955715,15
DecisionTreeRegressor,0.14593915479511999,0.21712871474079476,0.2551677820274174,0.007102537155151367,0.001768016815185547,-0.7042350865619047,-0.21734143352861288,-0.06714380795988621,-0.19750849080507574,-0.25911755375700063,0.10586454129398873,15
SVR,0.08169289579552252,0.23648558015143403,0.26459120536806763,0.41794705390930176,0.13427834510803222,-0.5179742300028968,-0.23530011769653014,-0.0687398064205629,-0.24592471433788443,-0.26217484282654074,0.08474686156458996,15
KNeighborsRegressor,0.07092211584272878,0.22185032583975905,0.26613837071077023,0.0014145374298095703,0.08383984565734863,-0.69932593728,-0.22607968350983704,-0.07411681858865973,-0.20624279612000002,-0.2722270428432061,0.012957123616824263,15
PLSRegression,0.08942131453956426,0.2337505712724278,0.2634754608629285,0.0023882389068603516,0.001732015609741211,-0.5593665746622805,-0.23121560154260917,-0.06795161809631296,-0.2342307254402563,-0.26066227777418627,0.09521527106418434,15
