description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.05692120772702669,0.241456574348059,0.2662170184763799,0.8323926448822021,0.15118770599365233,-0.4743917046764299,-0.24401032002592168,-0.07173965597347401,-0.2726378798069054,-0.2678342492824716,0.05036422166680974,3
GaussianProcessRegressor,-7.733693642149353,0.30422569676890804,0.8101413564230019,34.526849317550656,4.629458427429199,-10.423222770360457,-0.323548673019312,-0.5218914017363036,-0.18048912879363616,-0.719462386944091,-5.8971481194465944,3
BayesianRidge,0.40741777804902113,0.17378110018396026,0.21102608161022185,1.3826550483703612,0.007118749618530274,-0.6560798665538681,-0.1781677110944441,-0.045667972387799516,-0.16433475276988907,-0.21365858378372043,0.39553192927152986,3
TweedieRegressor,-0.00018923183833741142,0.250979834363121,0.2741592561922166,0.024042320251464844,0.007130289077758789,-0.4584869188299351,-0.2526609396352641,-0.07563211324466346,-0.28611518822663073,-0.27500294332545017,-0.0011237850985866605,3
SGDRegressor,0.002118085199182995,0.2507502237723261,0.27384284728615643,0.06671910285949707,0.007237052917480469,-0.45458092868081207,-0.25235929351782366,-0.07559504187150039,-0.2854109458960743,-0.2749364660753195,-0.0006482694774269992,3
PassiveAggressiveRegressor,-8.660039088649196,0.8121926986419691,0.8520229004086337,0.1733189582824707,0.007264232635498047,-0.8049526082874557,-0.3597532564470206,-0.19506673863591448,-0.35286487101115,-0.41809626340946177,-1.5883486283211694,3
GradientBoostingRegressor,0.421128226985387,0.17449341339777635,0.20857056248372227,103.58241863250733,0.011968278884887695,-0.55395717069999,-0.17520116468980024,-0.043532619487161736,-0.16168232852262282,-0.2086389882196634,0.4236769015771157,3
HistGradientBoostingRegressor,0.5435988471917622,0.14763493074357464,0.18519753088882618,14.772598600387573,0.018219709396362305,-0.5826042927486625,-0.15043158335800738,-0.03464881227530876,-0.12911095243610593,-0.18610405079568856,0.5409899083984634,3
AdaBoostRegressor,0.19217944501351936,0.2225951790444147,0.24638784307748596,44.09222731590271,0.04065437316894531,-0.452781700812828,-0.22400726975482646,-0.061059340027614276,-0.2376396552337928,-0.24709087555644946,0.19174917552039425,3
RandomForestRegressor,0.4862505710199706,0.16448591849097957,0.19648866501205955,282.9736318588257,0.037020397186279294,-0.5776803998460001,-0.1697039317356352,-0.040150808576689345,-0.15758450277100003,-0.2003730499887665,0.46842538334344336,3
ExtraTreesRegressor,0.5322993934513995,0.1553313533721739,0.18747604905238907,67.15040707588196,0.03756728172302246,-0.5576450313479999,-0.16127634544589697,-0.03701879456145511,-0.1471858704869999,-0.19238909479427474,0.5097609500104195,3
BaggingRegressor,0.43087559533047814,0.16899117458072288,0.2068070932026391,28.663332176208495,0.02253694534301758,-0.60248430348,-0.17480784097024088,-0.04503305198641962,-0.15591596664,-0.21215634476425654,0.40384581784357126,3
DecisionTreeRegressor,-0.09036403735738507,0.206141003144945,0.28625137759234354,4.739332485198974,0.00764169692993164,-0.7753092335999999,-0.20958383202268074,-0.082629371685024,-0.1384080833,-0.28736107140267575,-0.0946151324108567,3
SVR,0.09714250066880836,0.2304540114067479,0.26047822918582425,4.75454421043396,1.8527774333953857,-0.5495056577898649,-0.2340521624748806,-0.0690635129241222,-0.24658467732511763,-0.2627697314085011,0.08584694952610439,3
KNeighborsRegressor,0.4475491081386651,0.1561795052523311,0.2037551832430533,0.021796703338623047,0.18100123405456542,-0.6879291966000001,-0.1625739042058328,-0.04447501228605917,-0.12733026154000002,-0.21085662063324154,0.4110098135193618,3
PLSRegression,0.10010826284853469,0.2313930378051847,0.26005005977485696,0.07904658317565919,0.008782243728637696,-0.662314131841777,-0.23047712127654413,-0.06672439855908525,-0.2425555664038989,-0.2582785945715879,0.11688046664862702,3
