description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.20584876398057084,0.22026664111478622,0.24426008141608488,1.7231598377227784,0.5883422374725342,-0.5085265636867125,-0.22382786399444896,-0.06126731811795012,-0.23835611901185477,-0.2475062928177481,0.18862270907510717,16
GaussianProcessRegressor,0.13212839013712618,0.1879094680850249,0.2553457479552412,145.65199365615845,37.15064311027527,-1.5633446941882116,-0.19575663007231323,-0.06881659619030042,-0.1539141541938161,-0.26221563863360553,0.08904637664044127,16
BayesianRidge,0.6394452696160857,0.1316351463959054,0.16458357375093352,30.2952121257782,0.023595237731933595,-0.6780049954210586,-0.13600970056909537,-0.029124862603561306,-0.1149522941122874,-0.17063951407425684,0.6142187390680455,16
TweedieRegressor,-0.0023674145907133237,0.2511214795346416,0.2744191150121307,0.12495865821838378,0.024153375625610353,-0.4619765068720764,-0.25214423525861884,-0.07556912172710759,-0.28351464510883856,-0.27486311195794483,-0.0004143230569489065,16
SGDRegressor,-3.2700247890371514e-05,0.25053959653913327,0.27409934017532817,0.27915396690368655,0.02370734214782715,-0.46311164169520824,-0.251766527808302,-0.07534510484865795,-0.2817449336751789,-0.27445700703059195,0.002526992956687746,16
PassiveAggressiveRegressor,-0.5033175759901476,0.2649264352643317,0.3360673000932387,1.031558132171631,0.0241300106048584,-0.6953150751562437,-0.26709238927615964,-0.10629259253401926,-0.24717508021455745,-0.3237372325199351,-0.4089890902004732,16
GradientBoostingRegressor,0.5062665116664148,0.15852947073130613,0.19259596401427234,438.41929631233216,0.03896055221557617,-0.5777408920058761,-0.1571565198672699,-0.036453284907369855,-0.14205566956471966,-0.1909176815659699,0.517119782010732,16
HistGradientBoostingRegressor,0.5868722460041265,0.14146717938472772,0.17617451127763925,59.34287543296814,0.03328061103820801,-0.5650382524789526,-0.14303603206652624,-0.03187499068582027,-0.12403521834663116,-0.17852553073030855,0.5777224959214885,16
AdaBoostRegressor,0.2772673415848502,0.2100168415435861,0.2330181389429577,239.16675114631653,0.20375590324401854,-0.4813877394241306,-0.20767230608987508,-0.05296664756077189,-0.21533616436173914,-0.2301217202028932,0.2985845684725737,16
RandomForestRegressor,0.48737715127608416,0.16710308891048872,0.1962455733588776,1041.6819341659545,0.059103965759277344,-0.532802381328,-0.17035098418388345,-0.03966044509315618,-0.15890105645400004,-0.19912008543441184,0.47479176551681823,16
ExtraTreesRegressor,0.5250921292812434,0.16137328662954897,0.18888852403711667,338.3689975261688,0.0659721851348877,-0.517740606634,-0.1637778054202491,-0.036461033783135824,-0.15580326880929998,-0.19092699319750733,0.5172413228492551,16
BaggingRegressor,0.42346774446697866,0.17314329713045049,0.20811946194344813,102.02689805030823,0.09496631622314453,-0.5876700967199999,-0.1750055650551457,-0.044248344903218745,-0.15807891168,-0.21031013774201474,0.4139924400873788,16
DecisionTreeRegressor,-0.15613519601551262,0.21603167968884235,0.29471700879367513,16.80632848739624,0.022929906845092773,-0.7859763536000001,-0.21716139362228856,-0.08864830445209289,-0.14422406924,-0.2976399703800251,-0.1761389716587475,16
SVR,0.10937195670712963,0.23264686279076946,0.25867179231210136,20.001500940322877,7.328922748565674,-0.47635107117361,-0.23516254231719885,-0.06776742856250907,-0.24987515078193442,-0.2602972420598889,0.10272799073590395,16
KNeighborsRegressor,0.581680011588058,0.12986469768877948,0.17727814464115407,0.09315648078918456,0.6712147235870362,-0.64997012152,-0.13348889069067815,-0.03217627320958548,-0.10090108084000005,-0.17933980348522766,0.5734992404477419,16
PLSRegression,0.26573450645289776,0.2036721390005309,0.23486994660265356,0.31357150077819823,0.030964994430541994,-0.7589006376693048,-0.20309487724512812,-0.05595050238861547,-0.19876839639539812,-0.23650949844692196,0.2588219609259519,16
