description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.12115138374997081,0.2344238208838957,0.25695550479072443,0.8448066711425781,0.15529084205627441,-0.4510199934235336,-0.23731582546637803,-0.06739961623904547,-0.26291817847944576,-0.25957709179444777,0.10778932867957544,16
GaussianProcessRegressor,0.2971923327038051,0.17384984767713377,0.22978365588398825,37.92187261581421,7.053859615325928,-1.3735673413604377,-0.1781943983904184,-0.056286033093067143,-0.13927562239083532,-0.23708303584846827,0.2527828447101055,16
BayesianRidge,0.5965950078939075,0.13868849681681542,0.1740890773440981,1.3605440139770508,0.007619237899780274,-0.6146531567187402,-0.14067913852969866,-0.031135828734258974,-0.11979311442127424,-0.17642127372061864,0.5876411638348593,16
TweedieRegressor,-0.0024751237305138396,0.25113219833675815,0.27443385843475854,0.025463342666625977,0.007611131668090821,-0.46196991828004563,-0.2521542445086865,-0.07557647629535844,-0.2835043102495665,-0.27487647128894765,-0.0005114577636820439,16
SGDRegressor,-0.0064525522155323145,0.25082621626452395,0.27497774249768653,0.06842341423034667,0.007711267471313477,-0.4645169270090255,-0.25225067385144184,-0.07549250165854231,-0.2840631798642658,-0.2747228154273244,0.0006131513461867799,16
PassiveAggressiveRegressor,-0.5629428108484511,0.27661966146416295,0.3426671188404061,0.2263465404510498,0.00775442123413086,-0.7321075195370869,-0.2856552695053925,-0.1313997511160003,-0.26109959967211716,-0.3293878336637611,-0.7147783988538162,16
GradientBoostingRegressor,0.4970685202250371,0.15960094291732713,0.1943816657459061,108.96617860794068,0.011786556243896485,-0.5935591313043135,-0.16168469838895103,-0.03915357704623023,-0.14166488882934497,-0.19782569424261084,0.48156362383242984,16
HistGradientBoostingRegressor,0.5700837981827798,0.14374683369350652,0.17971850430739889,15.154728555679322,0.019039201736450195,-0.5996809609618483,-0.14676922979469537,-0.03407184718853197,-0.12411428991751887,-0.18452642612505624,0.5489502573331964,16
AdaBoostRegressor,0.2885612028843133,0.20858020825909426,0.2311903284305401,46.96935696601868,0.0480229377746582,-0.47024992784899416,-0.20858508683515478,-0.05347550844455791,-0.21752108497011843,-0.23119691011359955,0.29228327517897423,16
RandomForestRegressor,0.4865172774463046,0.16504377265129808,0.19641009560813993,255.65653681755066,0.032445526123046874,-0.544979871126,-0.16713196332237368,-0.040062753852006396,-0.15190792504199996,-0.20010037104217065,0.4696137415927999,16
ExtraTreesRegressor,0.5281692217811755,0.15852453201736197,0.1882755925060197,62.21508708000183,0.03645305633544922,-0.534681900222,-0.1619349147709707,-0.037211559811473165,-0.14734486256200002,-0.19284759709926294,0.5074414810419977,16
BaggingRegressor,0.4352175836445863,0.1695449125678837,0.2059877875526159,25.980476665496827,0.02410545349121094,-0.6140514838800001,-0.1736163210419451,-0.045207318530960425,-0.15266335322000005,-0.21254498273751202,0.40148509587916364,16
DecisionTreeRegressor,-0.13886780173720714,0.2143200944803562,0.2925078642025402,4.304421901702881,0.008013248443603516,-0.7780573592,-0.21394608371312146,-0.08486693468581807,-0.1431495225,-0.2912333905068098,-0.1253555487296234,16
SVR,0.26911896936410773,0.20459015021126153,0.23432802631361682,5.583205318450927,1.8242929458618165,-0.529952068096905,-0.20684779215595545,-0.055619293413031214,-0.2073978176717306,-0.23580183934788987,0.2637454295633108,16
KNeighborsRegressor,0.5073563534277437,0.14437775098316397,0.19238328340039731,0.023156261444091795,0.18916721343994142,-0.6494181219999999,-0.1521178011626875,-0.03959120203873832,-0.11928543507999997,-0.19894454729488767,0.4755106201742042,16
PLSRegression,0.29851405850604684,0.19647087407152167,0.2295674844277134,0.0820188045501709,0.00913701057434082,-0.5909179296629927,-0.19560786540122818,-0.05289280211613999,-0.18757281713501123,-0.2299286581034447,0.2999520038895579,16
