description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.1883453565213582,0.22592280028644093,0.2487522808227682,0.8126613616943359,0.14755702018737793,-0.4594558113476494,-0.22710011833041438,-0.0625638622732415,-0.24472698697857803,-0.2501148723559563,0.16714025643881567,15
GaussianProcessRegressor,0.26040770032975635,0.17759755136410568,0.2374529793608645,25.37745304107666,4.02511191368103,-1.3262444887898557,-0.18543463402897423,-0.061964441838233596,-0.14370249791754094,-0.2488242953089182,0.1748418039807637,15
BayesianRidge,0.6033635011695497,0.13890382060346934,0.17389126652193565,1.297984790802002,0.007178401947021485,-0.5850513247433569,-0.14218104558889336,-0.03106132277217071,-0.12265562599845006,-0.17620829922883186,0.5864155393160363,15
TweedieRegressor,-0.00022553379139655938,0.254020518899363,0.2761406871558096,0.023384904861450194,0.007021331787109375,-0.473372112399736,-0.25109936204528227,-0.07514348900869713,-0.28220274616496077,-0.27411433778611427,-0.0003616868901756387,15
SGDRegressor,0.00027699086176047327,0.2532918510708122,0.27607131033412363,0.06702423095703125,0.007115793228149414,-0.4770408509724561,-0.25095302712267653,-0.07504837652812793,-0.28291854714062137,-0.27394067421915713,0.0009059130366503964,15
PassiveAggressiveRegressor,0.25289829592858637,0.20628473963530708,0.2386554168772139,0.3264409065246582,0.007230710983276367,-0.7529249797388602,-0.2687473468475914,-0.11625508955059623,-0.2486838352709706,-0.315782642864324,-0.5411841912386346,15
GradientBoostingRegressor,0.5618964816247033,0.14509173495256397,0.1827552253545545,107.84714198112488,0.010606002807617188,-0.5622331439426551,-0.1447297836510833,-0.0327937529637473,-0.12331109484087696,-0.18103971446787384,0.5634619053058151,15
HistGradientBoostingRegressor,0.6365090130198314,0.1293716340801697,0.16646703952736275,13.965743017196655,0.01700882911682129,-0.5923688446911847,-0.12929537075510594,-0.027617219995969687,-0.10367514789606466,-0.16611841379773742,0.6322473929105431,15
AdaBoostRegressor,0.36209672450368735,0.19811315234516924,0.22052551693847278,43.39231848716736,0.041659212112426756,-0.47134073187730696,-0.19553503984429055,-0.04798160373059911,-0.19653511059845621,-0.2190047717271398,0.36147364822822126,15
RandomForestRegressor,0.5571209268295992,0.15122005075921424,0.18374858885675707,254.30754737854005,0.031996536254882815,-0.559772523554,-0.15048623846051476,-0.033225321174376723,-0.1347255033339999,-0.18224088395876098,0.5576225505255341,15
ExtraTreesRegressor,0.5899860332256064,0.14547498538709794,0.1767993883177084,70.74150075912476,0.03752369880676269,-0.5628837160260001,-0.14577346314557352,-0.03104833547552025,-0.13041102955099995,-0.17616777606620385,0.5866875500155002,15
BaggingRegressor,0.5107680542025861,0.15461625632629647,0.19312515111922993,26.195711660385133,0.025962114334106445,-0.5988121428,-0.15654081888072524,-0.037486712144599595,-0.13373375956999997,-0.19358960573979883,0.5008292250513225,15
DecisionTreeRegressor,0.04788160000474195,0.19293868582100576,0.2694181885271502,4.182384204864502,0.00755620002746582,-0.7875313514,-0.20007105758350896,-0.07688830255545849,-0.12837607,-0.2772520402226879,-0.023428135014932107,15
SVR,0.3160389443630979,0.19708315402727322,0.22834795137023414,4.203359174728393,1.7661556243896483,-0.5442987798415234,-0.19939924765213393,-0.05294006269425696,-0.19644196806925632,-0.23006852909404735,0.2951973278418866,15
KNeighborsRegressor,0.6259962307774388,0.12470641828658983,0.16885713729905089,0.023037528991699217,0.1811985969543457,-0.62806570584,-0.13161184132151008,-0.03143390314007245,-0.09503341619999998,-0.1772479863499577,0.5814877284821552,15
PLSRegression,0.3544193069455991,0.18822567178126567,0.22184860367155107,0.07686562538146972,0.008985757827758789,-0.6185257866754998,-0.18701628703688908,-0.048789813129858584,-0.1785312151627198,-0.2208601898940509,0.3504431486012488,15
