description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.1898235980864008,0.22041184826865756,0.24580332449516643,1.0343037605285645,0.17982883453369142,-0.5008268069484209,-0.2246277033053142,-0.0614851587523198,-0.2398556117473413,-0.24794971225284326,0.18883582799000792,10
GaussianProcessRegressor,0.17811896110576053,0.17708860008217747,0.24757252062572035,39.81525149345398,8.42407293319702,-1.566927116251125,-0.19172577487425868,-0.0690041101754802,-0.1447269221120592,-0.2624369205027229,0.09051833770063962,10
BayesianRidge,0.5612406210095903,0.14254410175570167,0.180888586181394,1.868286371231079,0.008607721328735352,-0.5799837622377699,-0.1438061631604584,-0.031508276341587683,-0.12496959483367824,-0.17746499537460997,0.5839005707203311,10
TweedieRegressor,-2.960394350792761e-05,0.24921419939878142,0.2730891125285654,0.03554558753967285,0.007521438598632813,-0.45390445793995504,-0.25321007923019356,-0.07586818774429431,-0.28528068929320294,-0.27542107575149616,-0.0007749441839096649,10
SGDRegressor,0.004689117000076792,0.24876425309993402,0.2724440541049983,0.07049450874328614,0.007512426376342774,-0.4578882406547106,-0.25275046107857235,-0.07559461072029647,-0.2840013065467995,-0.27492125912776627,0.0028730404568804825,10
PassiveAggressiveRegressor,-0.21030400844864205,0.2538633550971023,0.3004313114673579,0.28455796241760256,0.007546424865722656,-0.7708108849208202,-0.2505419409944931,-0.09409500164666226,-0.22484079087034478,-0.29947612118597466,-0.24234859500959,10
GradientBoostingRegressor,0.5119080570494006,0.1511136999218623,0.19078699915512576,114.58513870239258,0.013367795944213867,-0.568932686316433,-0.14956402217890946,-0.034515555938069875,-0.12831919211580417,-0.18573748880401658,0.5442775676994176,10
HistGradientBoostingRegressor,0.5985055872065171,0.1330362459054417,0.17303649550494982,24.473401594161988,0.030882835388183594,-0.5698465460076879,-0.13447669313161378,-0.02958699313250444,-0.10817002914059488,-0.17196697960514074,0.6092712479473243,10
AdaBoostRegressor,0.3288745071703115,0.19872819481622916,0.22371743210762932,47.12113909721374,0.04746212959289551,-0.48621085553447274,-0.19867292723657592,-0.0493470138204372,-0.1992225541359667,-0.22213917550660983,0.3487731311465338,10
RandomForestRegressor,0.5089697615661902,0.15538018315916394,0.19136040282964667,295.6100995540619,0.03640556335449219,-0.5485088032399998,-0.15669125531167144,-0.03586878127435293,-0.138677586223,-0.18936138068019756,0.5264978399453752,10
ExtraTreesRegressor,0.5441329526369012,0.1511758061460393,0.18438137860091916,80.299924659729,0.04468536376953125,-0.537452928016,-0.15185779784914236,-0.03338293554351483,-0.13516464490600005,-0.18267969227443376,0.5591228852895388,10
BaggingRegressor,0.4429544647453548,0.1635130069346464,0.2038183618118757,32.575892496109006,0.07014126777648926,-0.5905723340399999,-0.1616976137021475,-0.03972752106845892,-0.14064903716000002,-0.19930367651125228,0.47555915913714264,10
DecisionTreeRegressor,-0.04484855736877891,0.20150191362493453,0.27914164371384514,5.41558141708374,0.010271787643432617,-0.7914300402000001,-0.20236970686259365,-0.07753259489478119,-0.13320318439999998,-0.2784386504410189,-0.023531404789341615,10
SVR,0.22527064387506013,0.2085343711267017,0.24036596003094193,5.686320352554321,2.038499879837036,-0.6044168406798601,-0.21141196186587044,-0.057892194112657044,-0.21348693746681197,-0.2405978622684704,0.2362143440307009,10
KNeighborsRegressor,0.5738877554124507,0.1306765521528549,0.17826248848227186,0.025525379180908202,0.19948220252990723,-0.6383741622000001,-0.13442379251371217,-0.03342611260942123,-0.0969375339,-0.1827606770647046,0.5586324669873349,10
PLSRegression,0.30813719347990054,0.19085451443414986,0.22714749403490098,0.09322762489318848,0.010608053207397461,-0.6656319539674225,-0.19260838408250416,-0.051063619513035105,-0.18347769555411542,-0.22594743765274988,0.3262175686132959,10
