description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.2419692072575328,0.21052421331164703,0.2386405896217012,0.8540654659271241,0.1528383731842041,-0.5713520538300247,-0.21341235531234543,-0.058192064065672,-0.22057468390913396,-0.24122609007940765,0.22905081235701702,16
GaussianProcessRegressor,-0.1298753969173927,0.20888022109239354,0.29135076678591276,32.28052625656128,4.526147937774658,-1.9597869242395718,-0.21907401562621637,-0.0956393256571368,-0.1630065046106735,-0.307903773735194,-0.26927335638489663,16
BayesianRidge,0.5173968519860902,0.15445171915756145,0.1904127234214171,1.3282222747802734,0.007475566864013672,-0.6398432480046813,-0.15885142224401758,-0.03823363024228055,-0.14057534481783082,-0.19550046539097715,0.49352304935904756,16
TweedieRegressor,-0.0016365177379451534,0.25103255284884135,0.2743190475913766,0.036330890655517575,0.007445716857910156,-0.4618882197651481,-0.2520710200147291,-0.07552374603424636,-0.2835694295784029,-0.27478070182414116,0.0001845796035658376,16
SGDRegressor,-5.85657663421272e+16,50472255.928011335,66331956.104601964,2.881454610824585,0.00739593505859375,-531610775.1044348,-81697881.19038768,-1.1674961843028844e+16,-66041193.499825336,-106522180.95489398,-1.542775459938174e+17,16
PassiveAggressiveRegressor,-1.0869993396450508,0.3135392250297849,0.39596978270769034,0.09189724922180176,0.00741724967956543,-0.6507103870506429,-0.28598819305604933,-0.12089063479395432,-0.25952897850812756,-0.34632084643498184,-0.6096722227675977,16
GradientBoostingRegressor,0.4563461857575474,0.16705061382888511,0.20209804348179422,108.55104508399964,0.011158370971679687,-0.5697852711331576,-0.17063317858364577,-0.042832659786099306,-0.1528559285891083,-0.20695189180562057,0.4323763342153013,16
HistGradientBoostingRegressor,0.5538293369554097,0.14717890979427262,0.18308442264902175,14.69616503715515,0.017706584930419923,-0.5835997783030112,-0.15278182849029792,-0.03640379526342129,-0.12852626686099194,-0.190797131441628,0.5175490980376534,16
AdaBoostRegressor,0.24984096660935862,0.21296807321723055,0.2373982762041138,46.39996771812439,0.03950648307800293,-0.4667695337982135,-0.2170506460993978,-0.05811906641331767,-0.2244642380418888,-0.24104426833896722,0.2306363670493628,16
RandomForestRegressor,0.4721266853280931,0.169447020068264,0.1991433200996095,279.06406865119936,0.0334200382232666,-0.5450348957973999,-0.1741108016247772,-0.04235078732113966,-0.16212069281129998,-0.20578786437026736,0.43893783147033555,16
ExtraTreesRegressor,0.5073925782573385,0.16246343738465688,0.1923762101540229,77.85211811065673,0.043280839920043945,-0.5376220624793999,-0.16802615271006477,-0.03957290728203284,-0.1558608938859999,-0.19892230492273544,0.475855566142096,16
BaggingRegressor,0.4074574255742984,0.17367160942661078,0.21098941571226362,28.51206612586975,0.027480554580688477,-0.61023098808,-0.1793395602358896,-0.04716335315671322,-0.16056570943,-0.21715860114741647,0.37471570485475303,16
DecisionTreeRegressor,-0.10723629127211987,0.21097470408643268,0.28841712634382327,4.7188817977905275,0.007815933227539063,-0.7757249874000001,-0.22168296518780184,-0.08931214814292447,-0.15596753709999994,-0.2988164654865301,-0.18304391502593842,16
SVR,0.002035146372178165,0.24719491833995805,0.2738158050973095,5.280238246917724,1.9512220859527587,-0.4544337562785324,-0.24814868810215063,-0.07506419587321207,-0.2678301766382285,-0.2739447113439898,0.00623037335526746,16
KNeighborsRegressor,0.46871412762045983,0.14836043319996856,0.19978598686350083,0.023890113830566405,0.19139618873596193,-0.68394795572,-0.15405977725949063,-0.04182006732194969,-0.11763809437999999,-0.20447521434950588,0.44596456716206634,16
PLSRegression,0.19012334854243373,0.21543466578100764,0.24666658924959872,0.09052348136901855,0.00925431251525879,-0.6624179030647566,-0.21740546381765072,-0.06177607018984943,-0.21775435808620877,-0.24853843053132935,0.1814792171085777,16
