description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.0008682292549977433,0.2524902120113627,0.27504425506152713,0.6980279922485352,0.0816739559173584,-0.4617177282909746,-0.25200192942221145,-0.07548601777185907,-0.28474221254279825,-0.2747306551585083,-0.005730267093967867,11
GaussianProcessRegressor,0.5793495679196632,0.14376278744152082,0.17846450974641745,14.212682628631592,2.680080842971802,-0.6101532024399253,-0.15111433850038533,-0.03508651969596509,-0.13087875426785125,-0.18723385185161617,0.5319409692738643,11
BayesianRidge,0.358968979017135,0.18665839802174988,0.22030822776774403,0.3147417068481445,0.004732751846313476,-0.6100233048612074,-0.18612631053575268,-0.04902898938620714,-0.17228568222498128,-0.22140280619715105,0.3463619711342095,11
TweedieRegressor,-3.4132987385415703e-06,0.2526071764672741,0.2751642032101756,0.010934829711914062,0.004762792587280273,-0.4619045194588325,-0.25210189074710015,-0.0755400939949074,-0.28487728582549127,-0.27482901393196907,-0.006450397406726438,11
SGDRegressor,-0.0004031901605106025,0.25285834492246967,0.27521919966724345,0.04073038101196289,0.004872798919677734,-0.4613300879655961,-0.2523522539199642,-0.07571135733821445,-0.2844113309520563,-0.2751425595629737,-0.008782647318547188,11
PassiveAggressiveRegressor,-1.427189417582956,0.33989269378956166,0.4286896798752931,0.07500925064086914,0.004785728454589844,-0.9326370706326136,-0.5247996215835444,-0.3938506316524973,-0.5244994699462275,-0.5939123704323674,-4.273081284686838,11
GradientBoostingRegressor,0.2849001684967669,0.20364414675915793,0.23268829183632395,53.3604775428772,0.0070683002471923825,-0.563126046634313,-0.19986791591298733,-0.05252420094245956,-0.1951973545783799,-0.22917813092467343,0.29994957873900124,11
HistGradientBoostingRegressor,0.3923001002031653,0.18184703519688258,0.2145041880836007,7.400526332855224,0.014807844161987304,-0.5650663273665048,-0.18163566176004625,-0.045503476023815895,-0.17222923718152,-0.21331075687618614,0.39353907992156356,11
AdaBoostRegressor,0.10268725716831917,0.237645709450276,0.2606532301139448,18.349407386779784,0.016557836532592775,-0.4923434816011733,-0.23438266010244488,-0.06619028076448316,-0.2539866054177587,-0.2572552253515161,0.11815798449531698,11
RandomForestRegressor,0.28108849373448175,0.2076943512270817,0.2333076132884918,125.60081458091736,0.0317171573638916,-0.5384617394179999,-0.20842110082587206,-0.05479589392226382,-0.20979015398999995,-0.2340769231596811,0.26962377889221917,11
ExtraTreesRegressor,0.30026019157344175,0.20512316345893766,0.23017570631410691,30.736796379089355,0.03384408950805664,-0.51014329115,-0.20622137171282434,-0.0532608283048613,-0.20917739365799998,-0.23077057453835717,0.29026271467492953,11
BaggingRegressor,0.1970305370704788,0.21324482326541644,0.24657026859743128,12.490147829055786,0.01076045036315918,-0.59411170186,-0.21554653184542558,-0.06160620648074673,-0.20690444008999997,-0.248190029918627,0.1790843614631556,11
DecisionTreeRegressor,-0.46569576113465216,0.25206151259874277,0.3331295127051542,1.9951001167297364,0.005020046234130859,-0.809915635,-0.2580010460323442,-0.11378604293514771,-0.19335904759999997,-0.3372811348149143,-0.5156981675854163,11
SVR,-0.0031464107096470517,0.2504518945962096,0.27559628268467146,1.693145227432251,0.6799205780029297,-0.4541494264403205,-0.25031453889279887,-0.07620691233215227,-0.27253811003735773,-0.2760288051750118,-0.015374628942156354,11
KNeighborsRegressor,0.5595913964275474,0.1375050664181666,0.18260770186369546,0.010243844985961915,0.09925556182861328,-0.6649464092799999,-0.1382617068958733,-0.03316407273021595,-0.10727853908,-0.1820974453850424,0.5576654601630624,11
PLSRegression,0.2075812232691181,0.2102944188079463,0.2449449964860759,0.031633186340332034,0.005341768264770508,-0.6140470997472356,-0.20881221878569045,-0.05912650623990937,-0.19884161458342203,-0.2431546019295096,0.21199944819413905,11
